종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5520","150","2.79","5370","5520","5300","63810","347360870","258459068400","46822295"
"006840","AK홀딩스","22000","1550","7.58","20200","22300","19850","196813","4246365350","291446342000","13247561"
"027410","BGF","5140","-30","-0.58","5150","5190","5090","47727","245667120","491984305740","95716791"
"282330","BGF리테일","166000","0","0.00","164000","167000","163500","25140","4161382000","2869128396000","17283906"
"138930","BNK금융지주","8140","-140","-1.69","8210","8250","8130","1340268","10939815170","2653112902440","325935246"
"001460","BYC","458000","500","0.11","452000","459000","452000","408","186289000","286073670000","624615"
"001465","BYC우","180500","1500","0.84","177000","180500","177000","168","30255000","38876992500","215385"
"001040","CJ","83200","-600","-0.72","83300","83700","81900","32174","2670586600","2427526233600","29176998"
"079160","CJ CGV","26000","500","1.96","25150","26000","24900","434661","11143495950","1061011276000","40808126"
"00104K","CJ4우(전환)","73700","-300","-0.41","74000","74000","72800","1221","89753700","311493934400","4226512"
"000120","CJ대한통운","125000","500","0.40","121500","126000","121500","30671","3813617500","2851543000000","22812344"
"011150","CJ씨푸드","3765","5","0.13","3670","3790","3670","91965","344132845","135279360345","35930773"
"011155","CJ씨푸드1우","37150","-50","-0.13","37200","37200","37150","31","1151850","7430000000","200000"
"001045","CJ우","49150","50","0.10","49100","49250","48250","1379","67268300","111089960450","2260223"
"097950","CJ제일제당","379500","-500","-0.13","370500","384000","370500","26808","10166639500","5713063587000","15054186"
"097955","CJ제일제당 우","163500","0","0.00","163500","165000","162500","3116","509714500","217035295500","1327433"
"000590","CS홀딩스","66900","0","0.00","66400","67500","66200","1279","85718300","77234845800","1154482"
"012030","DB","878","3","0.34","871","878","859","461764","402763426","176630713174","201173933"
"016610","DB금융투자","6300","-30","-0.47","6290","6330","6230","55780","349610500","267412250700","42446389"
"005830","DB손해보험","60000","-2000","-3.23","60400","61600","59500","222970","13404025100","4248000000000","70800000"
"000990","DB하이텍","70100","-1400","-1.96","69800","70400","68700","776998","54097644000","3112341018800","44398588"
"000995","DB하이텍1우","98500","200","0.20","99800","99800","97500","126","12297600","11063126000","112316"
"139130","DGB금융지주","9580","-50","-0.52","9590","9590","9490","222473","2121318730","1620417080140","169145833"
"001530","DI동일","230500","-4000","-1.71","230500","234000","227500","1777","409993000","578705977500","2510655"
"000210","DL","61500","100","0.16","60400","61900","60200","46528","2855064900","1288786866000","20955884"
"001880","DL건설","26700","300","1.14","26050","27100","26000","12776","340411750","588822682800","22053284"
"000215","DL우","37000","0","0.00","37000","37000","36300","539","19785350","62386255000","1686115"
"375500","DL이앤씨","124000","4500","3.77","117500","125000","116000","253645","31178538000","2400483512000","19358738"
"37550K","DL이앤씨우","67000","1100","1.67","64400","67300","64000","4130","273681600","141630295000","2113885"
"004840","DRB동일","5240","-40","-0.76","5280","5280","5170","22890","119578450","104433200000","19930000"
"155660","DSR","5460","-40","-0.73","5500","5500","5390","44706","243346430","87360000000","16000000"
"069730","DSR제강","4580","-10","-0.22","4590","4600","4500","24594","111987040","65952000000","14400000"
"017940","E1","46300","100","0.22","46250","46450","45600","4597","211915700","317618000000","6860000"
"365550","ESR켄달스퀘어리츠","6070","-40","-0.65","6110","6110","6040","133117","807694100","1293450230000","213089000"
"383220","F&F","826000","-17000","-2.02","832000","837000","820000","15860","13117103000","6328328790000","7661415"
"007700","F&F홀딩스","27100","-100","-0.37","26850","27250","26450","30525","820165900","1059999345700","39114367"
"114090","GKL","15100","200","1.34","14650","15350","14600","423955","6381404150","934020617000","61855670"
"078930","GS","40450","-400","-0.98","40700","40700","40150","96527","3900333850","3758427040100","92915378"
"006360","GS건설","41150","1250","3.13","39400","41200","39150","545588","22227458950","3521678313500","85581490"
