종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5140","-20","-0.39","5180","5180","5110","20218","103884260","240666596300","46822295"
"006840","AK홀딩스","19900","150","0.76","20000","20000","19450","21213","419345800","263626463900","13247561"
"027410","BGF","5000","55","1.11","4950","5100","4930","152940","769024855","478583955000","95716791"
"282330","BGF리테일","169500","5500","3.35","162500","171000","162500","62925","10648028500","2929622067000","17283906"
"138930","BNK금융지주","8540","-70","-0.81","8590","8660","8520","1391129","11920232910","2783487000840","325935246"
"001460","BYC","462500","-5500","-1.18","468000","468000","460000","301","139311500","288884437500","624615"
"001465","BYC우","177500","-2500","-1.39","172500","177500","172500","54","9450000","38230837500","215385"
"001040","CJ","85000","1200","1.43","83500","85500","83400","75016","6364918200","2480044830000","29176998"
"079160","CJ CGV","24350","0","0.00","24850","24900","24300","283109","6936750750","993667032350","40807681"
"00104K","CJ4우(전환)","73700","800","1.10","72400","73700","72400","10300","754426700","311493934400","4226512"
"000120","CJ대한통운","127500","2500","2.00","124000","128000","124000","48321","6125607000","2908573860000","22812344"
"011150","CJ씨푸드","3805","-10","-0.26","3825","3825","3780","76384","290212285","136716591265","35930773"
"011155","CJ씨푸드1우","37800","-200","-0.53","37950","37950","36900","194","7279150","7560000000","200000"
"001045","CJ우","48600","0","0.00","48200","48800","48200","1449","70396050","109846837800","2260223"
"097950","CJ제일제당","383000","2000","0.52","379000","386000","377500","34544","13173003000","5765753238000","15054186"
"097955","CJ제일제당 우","165500","1500","0.91","164000","165500","163000","1217","200054500","219690161500","1327433"
"000590","CS홀딩스","64800","0","0.00","64800","64800","64500","679","43988800","74810433600","1154482"
"012030","DB","899","-5","-0.55","906","909","891","199754","179234798","180855365767","201173933"
"016610","DB금융투자","6550","-30","-0.46","6580","6610","6500","69510","453730720","278023847950","42446389"
"005830","DB손해보험","64800","-100","-0.15","64200","65400","63000","189158","12174453700","4587840000000","70800000"
"000990","DB하이텍","70700","-200","-0.28","72300","72600","70700","593707","42389222300","3138980171600","44398588"
"000995","DB하이텍1우","99900","1400","1.42","100000","100000","99600","429","42814400","11220368400","112316"
"139130","DGB금융지주","9780","-70","-0.71","9890","9930","9740","475202","4662313420","1654246246740","169145833"
"001530","DI동일","248500","1500","0.61","250000","251000","245000","3439","852205500","623897767500","2510655"
"000210","DL","59700","-1000","-1.65","60000","60600","59600","29364","1761384800","1251066274800","20955884"
"001880","DL건설","27300","-50","-0.18","27400","27450","27000","13893","377474400","602054653200","22053284"
"000215","DL우","36900","-100","-0.27","37250","37300","36900","234","8668700","62217643500","1686115"
"375500","DL이앤씨","117000","500","0.43","117000","117500","114500","228895","26595734500","2264972346000","19358738"
"37550K","DL이앤씨우","65300","0","0.00","65600","65700","65200","6497","424099200","138036690500","2113885"
"004840","DRB동일","5160","60","1.18","5130","5160","5100","1974","10136600","102838800000","19930000"
"155660","DSR","5580","20","0.36","5620","5620","5490","50486","280138830","89280000000","16000000"
"069730","DSR제강","4580","-30","-0.65","4680","4680","4570","34735","159903335","65952000000","14400000"
"017940","E1","48050","200","0.42","47850","48500","47850","1997","95834550","329623000000","6860000"
"365550","ESR켄달스퀘어리츠","6050","20","0.33","6090","6130","6040","267938","1633705750","1289188450000","213089000"
"383220","F&F","891000","0","0.00","904000","911000","882000","21045","18792300000","6826320765000","7661415"
