종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5050","90","1.81","4960","5060","4955","86937","433400990","236452589750","46822295"
"006840","AK홀딩스","17750","900","5.34","17400","17950","17100","24352","428397350","235144207750","13247561"
"027410","BGF","4805","165","3.56","4680","4810","4680","113251","538821640","459919180755","95716791"
"282330","BGF리테일","162500","500","0.31","163000","165500","157500","37782","6144977500","2808634725000","17283906"
"138930","BNK금융지주","8070","30","0.37","8100","8220","8030","899693","7283276960","2630297435220","325935246"
"001460","BYC","457500","7000","1.55","452000","460500","444000","296","134556500","285761362500","624615"
"001465","BYC우","180500","2500","1.40","181000","181000","180500","17","3076500","38876992500","215385"
"001040","CJ","80400","1000","1.26","79600","81200","79100","49616","3985719900","2345830639200","29176998"
"079160","CJ CGV","21750","400","1.87","22050","22200","21450","197468","4300530250","887567061750","40807681"
"00104K","CJ4우(전환)","70800","100","0.14","70800","71500","69900","8434","596120200","299237049600","4226512"
"000120","CJ대한통운","119000","3000","2.59","116000","121500","116000","35595","4245614000","2714668936000","22812344"
"011150","CJ씨푸드","3620","95","2.70","3580","3650","3550","105831","382312325","130069398260","35930773"
"011155","CJ씨푸드1우","36400","-300","-0.82","39950","39950","36000","2294","86387950","7280000000","200000"
"001045","CJ우","47400","900","1.94","46000","47650","46000","1571","74224850","107134570200","2260223"
"097950","CJ제일제당","358000","12000","3.47","350000","363500","350000","37171","13297770000","5389398588000","15054186"
"097955","CJ제일제당 우","158500","7000","4.62","155000","160000","155000","3873","612445000","210398130500","1327433"
"000590","CS홀딩스","61700","-400","-0.64","62700","62700","61700","1531","95222800","71231539400","1154482"
"012030","DB","879","17","1.97","868","895","868","518548","457372866","176831887107","201173933"
"016610","DB금융투자","6540","120","1.87","6430","6570","6430","42604","278040730","277599384060","42446389"
"005830","DB손해보험","63400","3200","5.32","60200","64600","60000","206011","13075515900","4488720000000","70800000"
"000990","DB하이텍","74000","-100","-0.13","76000","76100","73200","905820","67324778200","3285495512000","44398588"
"000995","DB하이텍1우","97800","1600","1.66","96700","99600","96700","132","12934300","10984504800","112316"
