종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5270","130","2.53","5140","5280","5140","58999","308830910","246753494650","46822295"
"006840","AK홀딩스","18700","-1050","-5.32","19750","19750","18700","32253","615633900","247729390700","13247561"
"027410","BGF","5010","-30","-0.60","5040","5090","4950","175571","880339335","479541122910","95716791"
"282330","BGF리테일","166000","500","0.30","164500","171000","164500","44341","7421737000","2869128396000","17283906"
"138930","BNK금융지주","8190","-150","-1.80","8350","8360","8120","1535345","12600925640","2669409664740","325935246"
"001460","BYC","454500","-7500","-1.62","463000","463000","449500","557","253080500","283887517500","624615"
"001465","BYC우","178000","0","0.00","176500","181500","176500","8","1435000","38338530000","215385"
"001040","CJ","81500","-300","-0.37","81700","82500","81100","34486","2819841800","2377925337000","29176998"
"079160","CJ CGV","23500","-600","-2.49","24100","24400","23200","322182","7598794200","958990961000","40808126"
"00104K","CJ4우(전환)","71900","-600","-0.83","72300","72500","71500","3164","227445300","303886212800","4226512"
"000120","CJ대한통운","122000","4500","3.83","118000","125000","117500","61383","7499880000","2783105968000","22812344"
"011150","CJ씨푸드","3540","-105","-2.88","3710","3710","3540","139263","505854035","127194936420","35930773"
"011155","CJ씨푸드1우","37000","-250","-0.67","37650","37650","36350","163","6041750","7400000000","200000"
"001045","CJ우","48100","700","1.48","47400","48350","47250","2549","121767500","108716726300","2260223"
"097950","CJ제일제당","361000","-10500","-2.83","362000","364500","353000","72372","25990511500","5434561146000","15054186"
"097955","CJ제일제당 우","158500","-2500","-1.55","159500","162000","158000","4708","749158500","210398130500","1327433"
"000590","CS홀딩스","66900","4400","7.04","62000","69800","61800","18113","1210767300","77234845800","1154482"
"012030","DB","841","-12","-1.41","853","859","840","459291","389380007","169187277653","201173933"
"016610","DB금융투자","6320","-100","-1.56","6420","6420","6290","41596","263483590","268261178480","42446389"
"005830","DB손해보험","61400","-2200","-3.46","62700","63100","60600","156997","9729221600","4347120000000","70800000"
"000990","DB하이텍","66700","-800","-1.19","70000","70000","66500","1375500","93172769200","2961385819600","44398588"
"000995","DB하이텍1우","97400","-300","-0.31","96900","97800","96100","492","47701300","10939578400","112316"
"139130","DGB금융지주","9510","-250","-2.56","9740","9750","9430","772692","7351844440","1608576871830","169145833"
"001530","DI동일","227500","-7000","-2.99","234000","237000","222000","7155","1637552500","571174012500","2510655"
"000210","DL","55700","-1100","-1.94","57400","57700","55200","59548","3342778100","1167242738800","20955884"
"001880","DL건설","25900","-100","-0.38","26100","26350","25850","13608","354573750","571180055600","22053284"
"000215","DL우","35300","0","0.00","35350","35700","35300","684","24317550","59519859500","1686115"
"375500","DL이앤씨","111500","-1000","-0.89","112500","113500","109500","94979","10575014000","2158499287000","19358738"
"37550K","DL이앤씨우","63500","-700","-1.09","64200","64200","61500","908","57611900","134231697500","2113885"
"004840","DRB동일","5110","0","0.00","5110","5190","5030","22523","115022940","101842300000","19930000"
"155660","DSR","5070","-100","-1.93","5140","5280","5020","61930","318110560","81120000000","16000000"
"069730","DSR제강","4320","-85","-1.93","4370","4455","4320","48000","210607255","62208000000","14400000"
"017940","E1","47250","-300","-0.63","47550","47600","46200","7003","327085750","324135000000","6860000"
"365550","ESR켄달스퀘어리츠","6030","-40","-0.66","6070","6100","6030","175849","1068246790","1284926670000","213089000"
"383220","F&F","880000","-32000","-3.51","912000","930000","865000","67226","59952456000","6742045200000","7661415"
"007700","F&F홀딩스","26350","-1300","-4.70","27650","27850","25900","60203","1606117650","1030663570450","39114367"
"114090","GKL","14300","-250","-1.72","14550","14750","14050","424914","6095464700","884536081000","61855670"
"078930","GS","40850","-550","-1.33","41600","41650","40300","185918","7593600650","3795593191300","92915378"
"006360","GS건설","38350","-100","-0.26","38750","39200","37900","413742","15897124500","3282050141500","85581490"
"001250","GS글로벌","2115","-60","-2.76","2175","2180","2095","403831","859657165","174558910860","82533764"
"007070","GS리테일","25850","-300","-1.15","26200","26250","25800","248545","6455970500","2706958283700","104717922"
"078935","GS우","34000","-150","-0.44","34150","34200","33800","2523","85863100","60684084000","1784826"
"012630","HDC","7470","0","0.00","7470","7490","7340","188346","1393115840","446270655870","59741721"
"039570","HDC랩스","10400","-100","-0.95","10550","10750","10300","64708","679361800","269959050400","25957601"
"089470","HDC현대EP","4600","-105","-2.23","4690","4735","4590","40655","189035580","146740000000","31900000"
"294870","HDC현대산업개발","15450","50","0.32","15300","15550","15100","563635","8645450100","1018268248500","65907330"
"097230","HJ중공업","7050","-170","-2.35","7090","7230","6890","19683","138304930","587083681050","83274281"
"011200","HMM","25250","250","1.00","25800","27850","25250","14360070","379814712700","12348247274000","489039496"
"082740","HSD엔진","8040","-190","-2.31","8250","8360","8040","174288","1423974200","375638817840","46721246"
"003560","IHQ","1120","-5","-0.44","1125","1145","1105","338157","379556680","163784037760","146235748"
"175330","JB금융지주","8360","-120","-1.42","8480","8480","8290","380637","3170556070","1646776993840","196982894"
"234080","JW생명과학","13750","250","1.85","13500","13850","13400","34533","472636550","217725117500","15834554"
"001060","JW중외제약","20450","-300","-1.45","20600","20950","20300","52759","1085993550","453541756450","22178081"
"001067","JW중외제약2우B","59300","0","0.00","59300","59300","57100","218","12783800","6103571100","102927"
"001065","JW중외제약우","33300","-200","-0.60","33450","33500","32250","265","8714550","6085075500","182735"
"096760","JW홀딩스","3345","5","0.15","3325","3370","3290","25406","84633590","235637541570","70444706"
"105560","KB금융","64500","-100","-0.15","64500","65100","63600","964595","62020214100","26819610840000","415807920"
"002380","KCC","296500","-79000","-21.04","323000","330500","296000","557002","171818719000","2634838651500","8886471"
"344820","KCC글라스","55700","-1400","-2.45","57200","57700","55000","64642","3637870800","889557518400","15970512"
"009070","KCTC","5260","-80","-1.50","5310","5640","5240","251745","1362928420","157800000000","30000000"
"009440","KC그린홀딩스","3900","5","0.13","3875","3945","3845","59450","230839050","87496422000","22434980"
"119650","KC코트렐","5110","-90","-1.73","5200","5330","5050","54308","281492970","89936000000","17600000"
"092220","KEC","2920","-85","-2.83","3010","3060","2915","2182131","6480883895","422664571720","144748141"
"016380","KG동부제철","9840","-160","-1.60","9950","10100","9770","170314","1686075890","984087546480","100008897"
"016385","KG동부제철우","106000","-3000","-2.75","104500","106500","104500","26","2724500","5658810000","53385"
"001390","KG케미칼","25700","0","0.00","25500","26700","25500","66847","1735981450","356358667200","13866096"
"033180","KH 필룩스","2050","-60","-2.84","2100","2145","2035","637722","1326111825","289652747150","141294023"
"001940","KISCO홀딩스","14750","-700","-4.53","15450","15450","14650","21673","324519000","272526605000","18476380"
"025000","KPX케미칼","51000","200","0.39","51000","51900","50600","1501","76786900","246840000000","4840000"
"092230","KPX홀딩스","60500","-400","-0.66","60300","60600","59400","3023","180520000","255591083000","4224646"
"000040","KR모터스","777","-4","-0.51","782","800","770","115242","89770706","74698734936","96137368"
"044450","KSS해운","11450","0","0.00","11650","12050","11250","187006","2184241300","265478326000","23185880"
"030200","KT","32000","150","0.47","31900","32200","31750","667445","21347885450","8355577856000","261111808"
"033780","KT&G","79600","0","0.00","79600","80000","79100","293006","23339697600","10928482761200","137292497"
"030210","KTB투자증권","4860","-110","-2.21","4945","5010","4860","159735","782105365","293126487120","60314092"
"058850","KTcs","2135","-65","-2.95","2200","2205","2125","129724","279458240","91132475000","42685000"
"058860","KTis","2190","-15","-0.68","2205","2240","2175","59250","131098765","76216380000","34802000"
"093050","LF","17300","100","0.58","17250","17650","17200","53627","933013100","505852000000","29240000"
"003550","LG","75500","0","0.00","75500","76100","75400","215429","16294045300","11876224971500","157300993"
