종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5400","50","0.93","5350","5460","5300","112201","604048490","252840393000","46822295"
"006840","AK홀딩스","19400","150","0.78","19350","20100","19100","62895","1243322350","257002683400","13247561"
"027410","BGF","5060","0","0.00","5060","5100","5000","95551","483480400","484326962460","95716791"
"282330","BGF리테일","167500","3500","2.13","165000","172000","163500","46925","7870284000","2895054255000","17283906"
"138930","BNK금융지주","8350","50","0.60","8310","8420","8250","1123009","9385254950","2721559304100","325935246"
"001460","BYC","454000","2000","0.44","450000","461500","449500","1276","579450000","283575210000","624615"
"001465","BYC우","179000","0","0.00","178500","179000","178500","30","5368000","38553915000","215385"
"001040","CJ","83600","1100","1.33","83300","84400","81800","49414","4129654500","2439197032800","29176998"
"079160","CJ CGV","25550","1450","6.02","24150","26100","24050","1351896","34455444200","1042647619300","40808126"
"00104K","CJ4우(전환)","73800","600","0.82","72500","74000","72500","8597","632095400","311916585600","4226512"
"000120","CJ대한통운","123000","-500","-0.40","124000","125500","120500","43336","5356440500","2805918312000","22812344"
"011150","CJ씨푸드","3730","20","0.54","3710","3775","3620","137610","511361345","134021783290","35930773"
"011155","CJ씨푸드1우","36800","-700","-1.87","37550","37550","36450","1018","37368600","7360000000","200000"
"001045","CJ우","49300","500","1.02","48800","49350","48650","2039","100138800","111428993900","2260223"
"097950","CJ제일제당","373500","4000","1.08","370000","378000","366500","34936","13054609500","5622738471000","15054186"
"097955","CJ제일제당 우","164000","500","0.31","164000","165500","161500","7962","1305444500","217699012000","1327433"
"000590","CS홀딩스","66300","-100","-0.15","66400","66600","65000","3378","222853800","76542156600","1154482"
"012030","DB","867","2","0.23","866","878","859","405812","353106215","174417799911","201173933"
"016610","DB금융투자","6360","-20","-0.31","6410","6420","6300","83803","532802130","269959034040","42446389"
"005830","DB손해보험","61800","-200","-0.32","61800","62200","60700","329703","20300605200","4375440000000","70800000"
"000990","DB하이텍","71400","-300","-0.42","72500","73300","69400","1432925","102842885300","3170059183200","44398588"
"000995","DB하이텍1우","97700","-1000","-1.01","98800","98800","97600","229","22398100","10973273200","112316"
"139130","DGB금융지주","9680","-20","-0.21","9670","9740","9590","602835","5839036470","1637331663440","169145833"
"001530","DI동일","233500","-1000","-0.43","235000","239000","228000","4574","1074151500","586237942500","2510655"
"000210","DL","57600","1000","1.77","57000","59100","57000","68489","3986636000","1207058918400","20955884"
"001880","DL건설","26400","100","0.38","26650","27050","26300","9980","267069800","582206697600","22053284"
"000215","DL우","35700","0","0.00","35700","37250","35500","2321","84395250","60194305500","1686115"
"375500","DL이앤씨","116000","2500","2.20","114000","117000","112000","222595","25671364500","2245613608000","19358738"
"37550K","DL이앤씨우","64700","600","0.94","63400","65600","63300","4641","298548700","136768359500","2113885"
"004840","DRB동일","5190","30","0.58","5190","5280","5060","22046","113590490","103436700000","19930000"
"155660","DSR","5470","160","3.01","5330","5480","5310","88202","476724980","87520000000","16000000"
"069730","DSR제강","4545","50","1.11","4600","4610","4470","41627","188935280","65448000000","14400000"
"017940","E1","46800","-650","-1.37","47400","47600","46500","5685","267014900","321048000000","6860000"
"365550","ESR켄달스퀘어리츠","6090","40","0.66","6090","6110","6050","162147","987444550","1297712010000","213089000"
"383220","F&F","841000","-22000","-2.55","866000","878000","834000","40826","34694072000","6443250015000","7661415"
"007700","F&F홀딩스","27200","-250","-0.91","27450","28050","27000","38800","1067915850","1063910782400","39114367"
"114090","GKL","14900","200","1.36","14650","15250","14550","807732","12098933900","921649483000","61855670"
"078930","GS","41500","450","1.10","41150","41600","41000","203958","8436652950","3855988187000","92915378"
"006360","GS건설","39250","350","0.90","39200","40150","38550","497925","19690037200","3359073482500","85581490"
"001250","GS글로벌","2190","20","0.92","2170","2240","2155","339472","747194005","180748943160","82533764"
"007070","GS리테일","26300","150","0.57","26200","26700","26050","337437","8898544800","2754081348600","104717922"
"078935","GS우","34300","150","0.44","34150","34500","34050","3053","104536850","61219531800","1784826"
"012630","HDC","7530","60","0.80","7500","7650","7410","279664","2106714680","449855159130","59741721"
"039570","HDC랩스","10200","-250","-2.39","10450","10450","10050","59545","606009050","264767530200","25957601"
"089470","HDC현대EP","4810","5","0.10","4810","4915","4780","29325","141898285","153439000000","31900000"
"294870","HDC현대산업개발","15350","150","0.99","15200","15750","15050","865200","13355210300","1011677515500","65907330"
"097230","HJ중공업","7170","30","0.42","7200","7250","7100","14053","100665890","597076594770","83274281"
"011200","HMM","27800","2550","10.10","25500","28100","25500","23023534","628815270300","13595297988800","489039496"
"082740","HSD엔진","8510","20","0.24","8490","8700","8250","214186","1825650550","397597803460","46721246"
"003560","IHQ","1200","35","3.00","1185","1215","1160","632549","752115180","175482897600","146235748"
"175330","JB금융지주","8450","30","0.36","8480","8540","8370","357706","3031949690","1664505454300","196982894"
"234080","JW생명과학","14000","50","0.36","14000","14000","13600","56186","779345900","221683756000","15834554"
"001060","JW중외제약","21600","250","1.17","21400","21800","21150","95313","2054631150","479046549600","22178081"
"001067","JW중외제약2우B","60900","0","0.00","60900","61300","60200","405","24689400","6268254300","102927"
"001065","JW중외제약우","33550","-150","-0.45","33650","33800","33150","499","16745650","6130759250","182735"
"096760","JW홀딩스","3435","15","0.44","3430","3490","3390","21301","73148045","241977565110","70444706"
"105560","KB금융","65100","500","0.77","65200","65900","64600","1244019","81165565900","27069095592000","415807920"
"002380","KCC","312500","6000","1.96","310500","324000","305000","169469","53423570000","2777022187500","8886471"
"344820","KCC글라스","58000","1500","2.65","56500","59000","56500","65022","3789736304","926289696000","15970512"
"009070","KCTC","5700","180","3.26","5570","5820","5400","335382","1889317000","171000000000","30000000"
"009440","KC그린홀딩스","3970","-80","-1.98","4050","4075","3930","48602","195493390","89066870600","22434980"
"119650","KC코트렐","5360","-50","-0.92","5380","5520","5220","44644","241476170","94336000000","17600000"
"092220","KEC","3070","-60","-1.92","3160","3195","3000","3175927","9915792280","444376792870","144748141"
"016380","KG동부제철","10050","50","0.50","10000","10250","9800","213228","2148374200","1005089414850","100008897"
"016385","KG동부제철우","105500","1000","0.96","105000","105500","101500","6","623000","5632117500","53385"
"001390","KG케미칼","27100","300","1.12","26500","27300","26050","55863","1500290450","375771201600","13866096"
"033180","KH 필룩스","2110","-30","-1.40","2120","2170","2050","654514","1390425930","298130388530","141294023"
"001940","KISCO홀딩스","16000","800","5.26","15650","16600","15600","88763","1417091200","295622080000","18476380"
"025000","KPX케미칼","51600","400","0.78","51300","51600","50800","2611","133969100","249744000000","4840000"
"092230","KPX홀딩스","60700","400","0.66","60500","60700","60000","1299","78451600","256436012200","4224646"
"000040","KR모터스","789","-5","-0.63","800","805","777","205677","162753541","75852383352","96137368"
"044450","KSS해운","11700","200","1.74","11500","12050","11450","223617","2635404050","271274796000","23185880"
"030200","KT","32400","50","0.15","32400","32700","32150","1032919","33531942100","8460022579200","261111808"
"033780","KT&G","80000","100","0.13","80000","80400","79500","271297","21724492900","10983399760000","137292497"
"030210","KTB투자증권","5200","60","1.17","5190","5390","5110","427394","2261386300","313633278400","60314092"
"058850","KTcs","2210","5","0.23","2225","2250","2175","148270","327647090","94333850000","42685000"
"058860","KTis","2255","15","0.67","2250","2275","2220","52431","118096160","78478510000","34802000"
"093050","LF","17400","-50","-0.29","17450","17750","17100","52181","911909600","508776000000","29240000"
"003550","LG","77000","700","0.92","76800","78200","76100","281807","21778265400","12112176461000","157300993"
"034220","LG디스플레이","19300","-150","-0.77","19450","19500","19000","2920254","56325190950","6905843010000","357815700"
"051900","LG생활건강","1028000","53000","5.44","970000","1034000","970000","144342","146943077000","16055506516000","15618197"
"051905","LG생활건강우","565000","9000","1.62","557000","574000","553000","5707","3226634000","1186328805000","2099697"
"373220","LG에너지솔루션","454500","-1000","-0.22","454500","460000","447000","711183","322829295500","106353000000000","234000000"
"003555","LG우","61900","500","0.81","61600","62300","61200","4129","255136000","187038278000","3021620"
"032640","LG유플러스","13300","-100","-0.75","13450","13500","13250","868882","11632524550","5806931101300","436611361"
"011070","LG이노텍","325000","8000","2.52","320500","333000","319000","593979","193630507000","7691809775000","23667107"
"066570","LG전자","124000","1000","0.81","123000","126000","122500","1006830","125060141500","20292328936000","163647814"
"066575","LG전자우","59400","0","0.00","59200","60000","59100","32334","1926238200","1020847924800","17185992"
"037560","LG헬로비전","5200","150","2.97","5060","5270","4860","1023059","5253182795","402723698000","77446865"
"051910","LG화학","640000","-13000","-1.99","650000","654000","635000","294891","190401787000","45179099520000","70592343"
"051915","LG화학우","313500","4500","1.46","309500","315500","309000","10839","3395507000","2410438800000","7688800"
"079550","LIG넥스원","61200","1300","2.17","59800","62000","59800","232405","14210709600","1346400000000","22000000"
"006260","LS","48800","650","1.35","48300","49600","48150","115078","5642371100","1571360000000","32200000"
"010120","LS ELECTRIC","41850","-150","-0.36","42250","42700","41850","154127","6518635850","1255500000000","30000000"
"000680","LS네트웍스","3775","285","8.17","3535","3980","3470","6329898","23992139195","297481385400","78803016"
"229640","LS전선아시아","7620","180","2.42","7480","7660","7440","78578","595840750","233361577980","30624879"
"001120","LX인터내셔널","27050","-50","-0.18","27250","27700","26600","326907","8907533500","1048458000000","38760000"
"108670","LX하우시스","52400","100","0.19","52300","53700","52000","55086","2905369300","469905908000","8967670"
"108675","LX하우시스우","25850","-300","-1.15","26150","26150","25500","647","16767150","26685730500","1032330"
"383800","LX홀딩스","9980","-70","-0.70","10050","10150","9920","170450","1708002370","761281286200","76280690"
"38380K","LX홀딩스1우","13900","-100","-0.71","14100","14200","13650","4704","65710950","20367461500","1465285"
"023150","MH에탄올","9650","-160","-1.63","9850","9920","9300","52300","507085240","71202775900","7378526"
"035420","NAVER","324500","0","0.00","325000","328000","319000","481773","156613250000","53233928082500","164049085"
"181710","NHN","34400","-500","-1.43","35300","35300","34000","130572","4531434850","1290616276000","37517915"
"400760","NH올원리츠","5180","20","0.39","5160","5190","5140","75439","389953510","218596000000","42200000"
"005940","NH투자증권","11800","0","0.00","11850","11950","11750","582418","6899167300","3504999866600","297033887"
