종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6170","90","1.48","6100","6190","5990","79050","481877470","288893560150","46822295"
"006840","AK홀딩스","22100","200","0.91","21900","22150","21600","25667","562453100","292771098100","13247561"
"027410","BGF","5330","50","0.95","5290","5330","5270","146485","776021600","510170496030","95716791"
"282330","BGF리테일","173500","500","0.29","174000","176500","172000","33881","5906659500","2998757691000","17283906"
"138930","BNK금융지주","7910","-60","-0.75","8050","8050","7860","899182","7109510130","2578147795860","325935246"
"001460","BYC","442500","1000","0.23","445500","446000","441000","209","92604000","276392137500","624615"
"001465","BYC우","177500","0","0.00","177500","177500","177000","141","25007500","38230837500","215385"
"001040","CJ","84000","400","0.48","84500","84500","83500","27392","2301377600","2450867832000","29176998"
"079160","CJ CGV","27500","-350","-1.26","28050","28400","27400","408950","11398663150","1122416267500","40815137"
"00104K","CJ4우(전환)","73000","500","0.69","72900","73000","72100","4108","298277800","308535376000","4226512"
"000120","CJ대한통운","131000","500","0.38","131500","131500","130500","22188","2901850500","2988417064000","22812344"
"011150","CJ씨푸드","4125","-65","-1.55","4180","4225","4095","793247","3285648095","148214438625","35930773"
"011155","CJ씨푸드1우","36800","150","0.41","36650","36800","36450","959","35102450","7360000000","200000"
"001045","CJ우","51100","300","0.59","50900","51100","50500","1450","73741900","115497395300","2260223"
"097950","CJ제일제당","373500","1000","0.27","377000","378000","371000","21564","8045568500","5622738471000","15054186"
"097955","CJ제일제당 우","168000","500","0.30","167500","168000","167000","1432","239919500","223008744000","1327433"
"000590","CS홀딩스","71800","600","0.84","71300","73000","71200","2221","160031700","82891807600","1154482"
"012030","DB","1045","40","3.98","1010","1045","986","1408192","1429223893","210226759985","201173933"
"016610","DB금융투자","6640","-10","-0.15","6670","6670","6580","39962","265121260","281844022960","42446389"
"005830","DB손해보험","68500","-600","-0.87","69900","69900","67500","148645","10140319800","4849800000000","70800000"
"000990","DB하이텍","76800","200","0.26","77900","78100","76500","506224","39045894200","3409811558400","44398588"
"000995","DB하이텍1우","101500","4900","5.07","100000","102000","99900","1608","162365200","11400074000","112316"
"139130","DGB금융지주","9400","-30","-0.32","9450","9450","9260","329494","3077858390","1589970830200","169145833"
"001530","DI동일","260000","-4000","-1.52","264000","265500","260000","5427","1420927000","652770300000","2510655"
"000210","DL","59400","-600","-1.00","61000","61000","59000","61849","3699051000","1244779509600","20955884"
"001880","DL건설","29450","-100","-0.34","29700","29750","29450","17963","531433300","649469213800","22053284"
"000215","DL우","39100","-50","-0.13","39200","39250","38750","2346","91860300","65927096500","1686115"
"375500","DL이앤씨","132000","1000","0.76","131500","133500","131500","125671","16641383000","2555353416000","19358738"
"37550K","DL이앤씨우","82600","1700","2.10","81000","83000","80900","23139","1902668700","174606901000","2113885"
"004840","DRB동일","5220","-10","-0.19","5230","5230","5160","18136","94054960","104034600000","19930000"
"155660","DSR","6590","300","4.77","6360","6830","6330","1082733","7156862930","105440000000","16000000"
"069730","DSR제강","5330","150","2.90","5230","5470","5160","232998","1235592060","76752000000","14400000"
"017940","E1","46850","150","0.32","46850","46850","46400","7045","328604250","321391000000","6860000"
"365550","ESR켄달스퀘어리츠","6970","-50","-0.71","7000","7000","6900","337156","2347193670","1485230330000","213089000"
"383220","F&F","730000","-9000","-1.22","746000","746000","730000","19123","14059403000","5592832950000","7661415"
"007700","F&F홀딩스","27050","150","0.56","27100","27200","26850","28185","761432800","1058043627350","39114367"
"114090","GKL","14800","250","1.72","14600","14900","14600","255231","3767624100","915463916000","61855670"
"078930","GS","42600","-350","-0.81","42900","43050","42100","233913","9937319650","3958195102800","92915378"
"006360","GS건설","45700","-300","-0.65","46200","46200","45600","488871","22397445350","3911074093000","85581490"
"001250","GS글로벌","2755","155","5.96","2680","2850","2670","9069077","24941096165","227380519820","82533764"
"007070","GS리테일","28100","-50","-0.18","28250","28400","28000","155493","4379654900","2942573608200","104717922"
"078935","GS우","35100","0","0.00","35100","35150","34900","2645","92960100","62647392600","1784826"
"012630","HDC","7180","70","0.98","7110","7700","7110","895116","6557537460","428945556780","59741721"
"039570","HDC랩스","10450","200","1.95","10250","10750","10100","100119","1036247150","271256930450","25957601"
"089470","HDC현대EP","4750","55","1.17","4700","4800","4700","99830","472176090","151525000000","31900000"
"294870","HDC현대산업개발","15700","450","2.95","15200","17550","15150","6306714","101820639850","1034745081000","65907330"
"097230","HJ중공업","7870","100","1.29","7860","7970","7730","26917","210017480","655368591470","83274281"
"011200","HMM","29300","150","0.51","29350","30200","29050","4736090","140181275800","14328857232800","489039496"
"082740","HSD엔진","9060","-110","-1.20","9130","9250","9060","205315","1869674530","423294488760","46721246"
"003560","IHQ","1330","150","12.71","1180","1330","1180","7543345","9580783740","201333545980","151378606"
"175330","JB금융지주","8420","-40","-0.47","8470","8470","8400","226857","1912544260","1658595967480","196982894"
"234080","JW생명과학","14700","50","0.34","14700","14850","14450","17190","251912600","232767943800","15834554"
"001060","JW중외제약","27350","-100","-0.36","27750","27850","27000","102985","2814363950","606570515350","22178081"
"001067","JW중외제약2우B","69000","200","0.29","69500","69500","68300","335","22987100","7101963000","102927"
"001065","JW중외제약우","37550","-350","-0.92","37850","37900","37350","753","28285450","6861699250","182735"
"096760","JW홀딩스","4170","-40","-0.95","4210","4255","4145","83593","349445245","293754424020","70444706"
"105560","KB금융","60000","-600","-0.99","60900","60900","59800","1177556","70888315650","24741149640000","412352494"
"002380","KCC","339500","-1500","-0.44","344500","344500","339000","32743","11156940000","3016956904500","8886471"
"344820","KCC글라스","63100","-800","-1.25","63700","64000","62900","49345","3120296700","1007739307200","15970512"
