종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6030","-70","-1.15","6100","6130","5970","83143","502326540","282338438850","46822295"
"006840","AK홀딩스","21550","0","0.00","21600","22100","21450","17172","371591650","285484939550","13247561"
"027410","BGF","5300","0","0.00","5320","5320","5240","93957","495388080","507298992300","95716791"
"282330","BGF리테일","181000","1000","0.56","180000","182500","178500","32543","5880855000","3128386986000","17283906"
"138930","BNK금융지주","7850","0","0.00","7850","7870","7790","648954","5086591850","2558591681100","325935246"
"001460","BYC","447500","-3500","-0.78","449500","450000","447000","223","100043500","279515212500","624615"
"001465","BYC우","178000","0","0.00","178000","178500","178000","33","5874500","38338530000","215385"
"001040","CJ","83600","700","0.84","83100","84000","82800","30390","2537335000","2439197032800","29176998"
"079160","CJ CGV","26950","50","0.19","27050","27250","26600","203498","5473160750","1099967942150","40815137"
"00104K","CJ4우(전환)","72900","200","0.28","72700","73200","72200","3253","236602200","308112724800","4226512"
"000120","CJ대한통운","127500","-4500","-3.41","132000","132000","127000","58671","7559389000","2908573860000","22812344"
"011150","CJ씨푸드","4200","-185","-4.22","4420","4470","4180","3013017","12989884990","150909246600","35930773"
"011155","CJ씨푸드1우","37650","-450","-1.18","37750","37750","36500","3580","132454850","7530000000","200000"
"001045","CJ우","50900","300","0.59","50800","51000","50500","3907","198420800","115045350700","2260223"
"097950","CJ제일제당","367500","-2000","-0.54","369000","371500","366000","26288","9680211500","5532413355000","15054186"
"097955","CJ제일제당 우","165500","500","0.30","165000","165500","164000","916","150786000","219690161500","1327433"
"000590","CS홀딩스","71300","300","0.42","71000","72600","71000","4679","335588700","82314566600","1154482"
"012030","DB","1015","15","1.50","1010","1040","990","1882490","1909540196","204191541995","201173933"
"016610","DB금융투자","6470","-20","-0.31","6500","6530","6470","36423","236717930","274628136830","42446389"
"005830","DB손해보험","67500","200","0.30","66500","68300","66200","101960","6876315900","4779000000000","70800000"
"000990","DB하이텍","76000","-600","-0.78","78400","78500","75700","1008350","77705658500","3374292688000","44398588"
"000995","DB하이텍1우","94700","-100","-0.11","95000","95000","94700","172","16305900","10636325200","112316"
"139130","DGB금융지주","9300","20","0.22","9300","9380","9270","467871","4360360300","1573056246900","169145833"
"001530","DI동일","262500","-1500","-0.57","265500","268000","262500","6498","1721453000","659046937500","2510655"
"000210","DL","58600","-700","-1.18","60100","60600","58300","126882","7529942400","1228014802400","20955884"
"001880","DL건설","29650","-150","-0.50","30350","30600","29650","33395","1003265250","653879870600","22053284"
"000215","DL우","37850","200","0.53","38150","38650","37850","2035","77725250","63819452750","1686115"
"375500","DL이앤씨","134000","3500","2.68","139000","139500","134000","913993","124443176500","2594070892000","19358738"
"37550K","DL이앤씨우","78000","7400","10.48","80000","80600","76100","133773","10438887700","164883030000","2113885"
"004840","DRB동일","5250","-10","-0.19","5240","5320","5170","21270","111254090","104632500000","19930000"
"155660","DSR","6450","30","0.47","6420","6490","6220","204537","1298073230","103200000000","16000000"
"069730","DSR제강","5260","-100","-1.87","5400","5410","5160","271815","1425880890","75744000000","14400000"
"017940","E1","46000","-850","-1.81","47050","47050","45900","8148","376694050","315560000000","6860000"
"365550","ESR켄달스퀘어리츠","6820","20","0.29","6730","6840","6730","193228","1317276410","1453266980000","213089000"
"383220","F&F","769000","-4000","-0.52","780000","793000","766000","19526","15211450000","5891628135000","7661415"
"007700","F&F홀딩스","27650","1300","4.93","26500","27800","26400","91820","2503848450","1081512247550","39114367"
"114090","GKL","14600","0","0.00","14600","14650","14350","210784","3049871250","903092782000","61855670"
"078930","GS","40800","300","0.74","40300","40850","40200","160431","6516345350","3790947422400","92915378"
"006360","GS건설","47000","-550","-1.16","47300","47650","46250","540693","25376415150","4022330030000","85581490"
"001250","GS글로벌","2445","-50","-2.00","2500","2505","2445","465867","1151736235","201795052980","82533764"
"007070","GS리테일","28250","0","0.00","28100","28300","27950","111456","3132368100","2958281296500","104717922"
"078935","GS우","34650","-200","-0.57","34750","34900","34650","2586","89852550","61844220900","1784826"
"012630","HDC","7600","-10","-0.13","7600","7650","7520","143341","1088509420","454037079600","59741721"
"039570","HDC랩스","11400","100","0.88","11250","11550","11250","27741","317592250","295916651400","25957601"
"089470","HDC현대EP","4710","5","0.11","4735","4805","4680","69395","326193120","150249000000","31900000"
"294870","HDC현대산업개발","17100","50","0.29","17050","17300","16700","536436","9105826850","1127015343000","65907330"
"097230","HJ중공업","8010","90","1.14","7920","8010","7900","19525","155642300","667026990810","83274281"
"011200","HMM","30200","-950","-3.05","31300","31400","30100","4692749","142763389000","14768992779200","489039496"
"082740","HSD엔진","9170","-130","-1.40","9320","9330","9120","215695","1982081140","428433825820","46721246"
"003560","IHQ","1200","5","0.42","1185","1205","1170","751951","895791020","181654327200","151378606"
"175330","JB금융지주","8310","-80","-0.95","8400","8420","8300","270739","2254648530","1636927849140","196982894"
"234080","JW생명과학","14550","250","1.75","14300","14550","14200","40909","588821400","230392760700","15834554"
"001060","JW중외제약","29150","850","3.00","28400","29550","27700","464199","13453783200","646491061150","22178081"
"001067","JW중외제약2우B","68800","900","1.33","68900","68900","67900","359","24679400","7081377600","102927"
"001065","JW중외제약우","38300","350","0.92","38350","38350","37500","1350","51451600","6998750500","182735"
"096760","JW홀딩스","4145","165","4.15","3985","4155","3880","332383","1334312220","291993306370","70444706"
"105560","KB금융","60900","-500","-0.81","61300","61300","60200","1298634","78951195111","25112266884600","412352494"
"002380","KCC","336000","3000","0.90","333000","338000","330500","35491","11905119000","2985854256000","8886471"
