종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5670","0","0.00","5610","5670","5600","18079","101750120","265482412650","46822295"
"006840","AK홀딩스","21500","150","0.70","21400","22200","21350","29885","651206850","284822561500","13247561"
"027410","BGF","5190","30","0.58","5160","5220","5140","48132","249246930","496770145290","95716791"
"282330","BGF리테일","173000","2000","1.17","170500","175000","169000","40281","6978728000","2990115738000","17283906"
"138930","BNK금융지주","7620","10","0.13","7580","7700","7570","690755","5267106830","2483626574520","325935246"
"001460","BYC","442000","-9500","-2.10","451500","451500","441000","595","264368000","276079830000","624615"
"001465","BYC우","176500","-1500","-0.84","178000","178000","176500","28","4949500","38015452500","215385"
"001040","CJ","79200","-800","-1.00","79100","80100","79000","27272","2167577900","2310818241600","29176998"
"079160","CJ CGV","26450","650","2.52","25800","26900","25500","374324","9830511400","1079560373650","40815137"
"00104K","CJ4우(전환)","70600","-300","-0.42","71000","71000","70200","5069","356879800","298391747200","4226512"
"000120","CJ대한통운","133500","-4000","-2.91","137000","137000","132500","61811","8273555500","3045447924000","22812344"
"011150","CJ씨푸드","3885","5","0.13","3900","4000","3830","521644","2033776050","139591053105","35930773"
"011155","CJ씨푸드1우","38500","950","2.53","37500","38500","36600","1215","45833450","7700000000","200000"
"001045","CJ우","48150","-300","-0.62","48450","48750","48150","1031","49861300","108829737450","2260223"
"097950","CJ제일제당","339000","-4500","-1.31","339500","343000","337500","22271","7563976500","5103369054000","15054186"
"097955","CJ제일제당 우","159500","0","0.00","160000","160000","158500","1079","171701500","211725563500","1327433"
"000590","CS홀딩스","69300","300","0.43","68800","69600","68600","1820","125630400","80005602600","1154482"
"012030","DB","889","-3","-0.34","891","893","880","186144","164683165","178843626437","201173933"
"016610","DB금융투자","6340","-30","-0.47","6370","6380","6300","36401","230984520","269110106260","42446389"
"005830","DB손해보험","58100","-400","-0.68","58200","59300","57600","131680","7692627900","4113480000000","70800000"
"000990","DB하이텍","68100","-200","-0.29","67800","69000","67700","468458","32035274100","3023543842800","44398588"
"000995","DB하이텍1우","92000","-1100","-1.18","93100","93100","92000","327","30209900","10333072000","112316"
"139130","DGB금융지주","8980","-90","-0.99","9100","9100","8940","574932","5171380480","1518929580340","169145833"
"001530","DI동일","233500","-4000","-1.68","235000","237000","232500","4246","994888000","586237942500","2510655"
"000210","DL","58600","-700","-1.18","59000","59400","58000","31846","1858523700","1228014802400","20955884"
"001880","DL건설","29300","-700","-2.33","29500","29850","29150","27194","800048300","646161221200","22053284"
"000215","DL우","36850","-150","-0.41","37000","37000","36200","1222","44888900","62133337750","1686115"
"375500","DL이앤씨","129500","-6500","-4.78","135500","135500","129000","252391","33069278000","2506956571000","19358738"
"37550K","DL이앤씨우","69500","-1000","-1.42","70100","70600","68600","3243","225761200","146915007500","2113885"
"004840","DRB동일","4965","15","0.30","4950","4975","4840","10802","52782090","98952450000","19930000"
"155660","DSR","5580","-50","-0.89","5580","5780","5550","48769","274733390","89280000000","16000000"
"069730","DSR제강","4640","-90","-1.90","4690","4700","4630","35848","167120775","66816000000","14400000"
"017940","E1","45100","-200","-0.44","45250","45250","44750","6451","289762400","309386000000","6860000"
"365550","ESR켄달스퀘어리츠","6680","-50","-0.74","6740","6750","6640","855354","5736808105","1423434520000","213089000"
"383220","F&F","689000","-16000","-2.27","690000","721000","662000","129546","88925108000","5278714935000","7661415"
"007700","F&F홀딩스","25550","-400","-1.54","25600","25900","25250","30165","771280550","999372076850","39114367"
"114090","GKL","14700","100","0.68","14650","15100","14550","342241","5069445600","909278349000","61855670"
"078930","GS","39700","-1150","-2.82","40450","40500","39700","171615","6859646250","3688740506600","92915378"
"006360","GS건설","46950","-1250","-2.59","48100","48150","46250","1026317","48244084600","4018050955500","85581490"
"001250","GS글로벌","2270","-90","-3.81","2365","2365","2250","804195","1836414850","187351644280","82533764"
"007070","GS리테일","28200","250","0.89","28000","28400","27400","269805","7561530950","2953045400400","104717922"
"078935","GS우","34350","-250","-0.72","34600","34600","34300","2592","89259400","61308773100","1784826"
"012630","HDC","7570","10","0.13","7410","7590","7330","252280","1884921360","452244827970","59741721"
"039570","HDC랩스","10400","50","0.48","10300","10550","10150","37053","383974700","269959050400","25957601"
"089470","HDC현대EP","4640","-150","-3.13","4790","4820","4560","69515","325628825","148016000000","31900000"
"294870","HDC현대산업개발","16200","-200","-1.22","14800","16450","14750","2709610","42553055450","1067698746000","65907330"
"097230","HJ중공업","7550","-180","-2.33","7760","7800","7460","22367","169547490","628720821550","83274281"
"011200","HMM","31800","-2700","-7.83","34700","34750","31700","10074949","330233562350","15551455972800","489039496"
"082740","HSD엔진","8960","-290","-3.14","9200","9340","8960","263777","2393416300","418622364160","46721246"
"003560","IHQ","1140","-25","-2.15","1155","1170","1140","360052","413869795","172571610840","151378606"
"175330","JB금융지주","8070","-30","-0.37","8110","8180","8030","236911","1919526530","1589651954580","196982894"
"234080","JW생명과학","14500","150","1.05","14500","14700","14200","32171","463369350","229601033000","15834554"
"001060","JW중외제약","27750","250","0.91","27550","31900","27100","3010366","87854350350","615441747750","22178081"
"001067","JW중외제약2우B","66800","800","1.21","66200","67400","65500","607","40616700","6875523600","102927"
"001065","JW중외제약우","37000","250","0.68","37150","37200","36300","1176","43398500","6761195000","182735"
"096760","JW홀딩스","4235","35","0.83","4200","4340","4190","172974","739833595","298333329910","70444706"
"105560","KB금융","56700","900","1.61","56200","57400","55900","1854930","105321715200","23380386409800","412352494"
"002380","KCC","318500","-11000","-3.34","329500","329500","318000","60289","19446496500","2830341013500","8886471"
"344820","KCC글라스","63700","-400","-0.62","64300","64900","62900","125382","8021036200","1017321614400","15970512"
"009070","KCTC","5680","-50","-0.87","5740","5880","5640","160709","921695730","170400000000","30000000"
"009440","KC그린홀딩스","4000","-65","-1.60","4030","4050","3995","15866","63644050","89739920000","22434980"
"119650","KC코트렐","5640","-110","-1.91","5740","5760","5610","31647","179340370","99264000000","17600000"
"092220","KEC","2770","-40","-1.42","2795","2845","2760","1509131","4197144010","400952350570","144748141"
"016380","KG동부제철","10500","-250","-2.33","10600","10750","10400","189681","1995176300","1050093418500","100008897"
"016385","KG동부제철우","104000","2000","1.96","106500","106500","100500","13","1360000","5552040000","53385"
"001390","KG케미칼","28050","-950","-3.28","28650","28850","27900","71694","2026422900","388943992800","13866096"
"033180","KH 필룩스","1985","0","0.00","1975","1995","1970","358404","709957315","285264610035","143710131"
"001940","KISCO홀딩스","16350","300","1.87","16050","16400","15950","36145","589307650","302088813000","18476380"
"025000","KPX케미칼","53000","-400","-0.75","53400","53400","52900","473","25113700","256520000000","4840000"
"092230","KPX홀딩스","59700","-300","-0.50","60000","60100","59700","395","23632900","252211366200","4224646"
"000040","KR모터스","861","111","14.80","740","965","726","13552920","12335335357","82774273848","96137368"
"044450","KSS해운","11400","-150","-1.30","11650","11650","11300","107214","1223513900","264319032000","23185880"
"030200","KT","33100","300","0.91","32800","33450","32700","1322761","43894939200","8642800844800","261111808"
"033780","KT&G","81300","0","0.00","80400","81300","80300","246987","20011578200","11161880006100","137292497"
"030210","KTB투자증권","4910","-80","-1.60","4970","5010","4910","163610","810041860","296142191720","60314092"
"058850","KTcs","2220","-25","-1.11","2225","2250","2220","40842","91119135","94760700000","42685000"
"058860","KTis","2350","45","1.95","2295","2350","2295","46774","108786595","81784700000","34802000"
"093050","LF","18050","300","1.69","17650","18250","17450","53980","974334700","527782000000","29240000"
"003550","LG","70900","-1500","-2.07","71900","71900","70500","287398","20396317900","11152640403700","157300993"
"034220","LG디스플레이","19200","650","3.50","18500","19450","18450","4335491","82822175700","6870061440000","357815700"
"051900","LG생활건강","832000","-9000","-1.07","831000","850000","825000","88546","73798458281","12994339904000","15618197"
