종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5650","0","0.00","5680","5750","5600","23165","131037680","264545966750","46822295"
"006840","AK홀딩스","20650","650","3.25","20450","21000","20300","14328","296540250","273562134650","13247561"
"027410","BGF","5180","30","0.58","5260","5260","5150","149993","779273020","495812977380","95716791"
"282330","BGF리테일","169500","-1000","-0.59","171000","175000","166500","74316","12672073000","2929622067000","17283906"
"138930","BNK금융지주","7490","160","2.18","7560","7560","7420","1174777","8779887130","2441254992540","325935246"
"001460","BYC","456000","-2000","-0.44","461000","461500","452500","277","126649000","284824440000","624615"
"001465","BYC우","175500","2000","1.15","177000","177000","174000","72","12607000","37800067500","215385"
"001040","CJ","80200","1700","2.17","80300","80600","79400","64242","5142935600","2339995239600","29176998"
"079160","CJ CGV","25600","1200","4.92","24950","25650","24850","255842","6479879750","1044721049600","40809416"
"00104K","CJ4우(전환)","71200","1900","2.74","70700","71200","70000","1528","107971800","300927654400","4226512"
"000120","CJ대한통운","133000","5000","3.91","130000","134000","129500","71427","9461251500","3034041752000","22812344"
"011150","CJ씨푸드","3785","-65","-1.69","3850","3855","3600","371408","1395194420","135997975805","35930773"
"011155","CJ씨푸드1우","39000","650","1.69","39000","39000","38100","782","30384100","7800000000","200000"
"001045","CJ우","48500","350","0.73","48250","49250","48250","633","30776000","109620815500","2260223"
"097950","CJ제일제당","354500","9500","2.75","352000","354500","348000","37235","13103904500","5336708937000","15054186"
"097955","CJ제일제당 우","161000","1000","0.63","164500","164500","160000","2697","433376000","213716713000","1327433"
"000590","CS홀딩스","67400","400","0.60","67200","68400","66600","1858","125173200","77812086800","1154482"
"012030","DB","891","15","1.71","886","912","881","446741","400421234","179245974303","201173933"
"016610","DB금융투자","6240","220","3.65","6230","6370","6200","128707","808786760","264865467360","42446389"
"005830","DB손해보험","58900","2900","5.18","57600","59000","57000","292885","17121417700","4170120000000","70800000"
