종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6180","150","2.49","5970","6270","5970","149496","920055620","289361783100","46822295"
"006840","AK홀딩스","21800","250","1.16","21500","21800","21450","15981","345578800","288796829800","13247561"
"027410","BGF","5280","-20","-0.38","5280","5280","5210","72125","378116990","505384656480","95716791"
"282330","BGF리테일","176000","-5000","-2.76","179500","180000","174000","36554","6435641500","3041967456000","17283906"
"138930","BNK금융지주","7960","110","1.40","7850","7960","7820","951133","7535735850","2594444558160","325935246"
"001460","BYC","444500","-3000","-0.67","446000","446000","441500","113","50137500","277641367500","624615"
"001465","BYC우","178000","0","0.00","176000","178000","176000","91","16018000","38338530000","215385"
"001040","CJ","84500","900","1.08","83000","84500","82700","33710","2835565500","2465456331000","29176998"
"079160","CJ CGV","27400","450","1.67","27000","27600","26650","316057","8607896400","1118334753800","40815137"
"00104K","CJ4우(전환)","72800","-100","-0.14","72000","72900","71600","8335","602515400","307690073600","4226512"
"000120","CJ대한통운","130000","2500","1.96","127000","130500","126000","27455","3540703500","2965604720000","22812344"
"011150","CJ씨푸드","4225","25","0.60","4230","4260","4145","1380696","5900582985","151807515925","35930773"
"011155","CJ씨푸드1우","36800","-850","-2.26","37250","37250","36800","1450","53500100","7360000000","200000"
"001045","CJ우","50900","0","0.00","50900","51000","50300","1501","76155700","115045350700","2260223"
"097950","CJ제일제당","376500","9000","2.45","366000","376500","363000","45261","16833387000","5667901029000","15054186"
"097955","CJ제일제당 우","166500","1000","0.60","166500","166500","163000","1602","264922000","221017594500","1327433"
"000590","CS홀딩스","71000","-300","-0.42","71300","71300","70800","1000","71070900","81968222000","1154482"
"012030","DB","998","-17","-1.67","1015","1025","996","965006","968334228","200771585134","201173933"
"016610","DB금융투자","6650","180","2.78","6500","6650","6460","78705","517917450","282268486850","42446389"
"005830","DB손해보험","69800","2300","3.41","66100","69800","66100","184546","12721730700","4941840000000","70800000"
"000990","DB하이텍","76600","600","0.79","76000","77100","75200","636727","48636306600","3400931840800","44398588"
"000995","DB하이텍1우","95200","500","0.53","94700","96000","94700","316","30174900","10692483200","112316"
"139130","DGB금융지주","9420","120","1.29","9360","9450","9290","458024","4302355270","1593353746860","169145833"
"001530","DI동일","262500","0","0.00","264000","267000","260000","7326","1929245000","659046937500","2510655"
"000210","DL","59800","1200","2.05","58600","59900","58000","79034","4673678000","1253161863200","20955884"
"001880","DL건설","30000","350","1.18","29700","30200","29700","21858","655800000","661598520000","22053284"
"000215","DL우","38600","750","1.98","37850","38750","37800","3712","141339450","65084039000","1686115"
"375500","DL이앤씨","135000","1000","0.75","134000","136000","132500","196279","26339821500","2613429630000","19358738"
"37550K","DL이앤씨우","81800","3800","4.87","80500","82000","80000","68765","5573941100","172915793000","2113885"
"004840","DRB동일","5250","0","0.00","5220","5290","5200","9270","48447040","104632500000","19930000"
"155660","DSR","6430","-20","-0.31","6540","6540","6340","114661","734728610","102880000000","16000000"
"069730","DSR제강","5280","20","0.38","5190","5360","5140","208146","1092837170","76032000000","14400000"
"017940","E1","46300","300","0.65","46100","46550","45800","6097","280583700","317618000000","6860000"
"365550","ESR켄달스퀘어리츠","6810","-10","-0.15","6820","6820","6730","233459","1586387870","1451136090000","213089000"
"383220","F&F","750000","-19000","-2.47","761000","761000","714000","32547","23956348000","5746061250000","7661415"
"007700","F&F홀딩스","27000","-650","-2.35","28000","28150","27000","60369","1654344300","1056087909000","39114367"
"114090","GKL","14550","-50","-0.34","14550","14700","14400","157340","2283237250","899999998500","61855670"
"078930","GS","43050","2250","5.51","40550","43050","40450","756587","31882098700","4000007022900","92915378"
"006360","GS건설","47400","400","0.85","47000","47600","46350","464512","21828102150","4056562626000","85581490"
"001250","GS글로벌","2475","30","1.23","2450","2490","2435","1570332","4156347370","204271065900","82533764"
"007070","GS리테일","28050","-200","-0.71","28200","28200","27900","137618","3856188450","2937337712100","104717922"
"078935","GS우","35300","650","1.88","34700","35400","34650","4995","174633000","63004357800","1784826"
"012630","HDC","7440","-160","-2.11","7600","7650","7380","364155","2712576530","444478404240","59741721"
"039570","HDC랩스","11300","-100","-0.88","11400","11500","11250","30142","342782350","293320891300","25957601"
"089470","HDC현대EP","4690","-20","-0.42","4710","4735","4680","36697","172127800","149611000000","31900000"
"294870","HDC현대산업개발","16200","-900","-5.26","17100","17250","15600","2257487","36525642650","1067698746000","65907330"
"097230","HJ중공업","7880","-130","-1.62","8000","8000","7850","13861","109400440","656201334280","83274281"
"011200","HMM","29650","-550","-1.82","30050","30600","29300","4642964","138321506250","14500021056400","489039496"
"082740","HSD엔진","9310","140","1.53","9200","9400","9200","277135","2582741540","434974800260","46721246"
"003560","IHQ","1180","-20","-1.67","1200","1200","1175","446983","528491030","178626755080","151378606"
"175330","JB금융지주","8430","120","1.44","8400","8450","8360","316688","2668097410","1660565796420","196982894"
"234080","JW생명과학","14650","100","0.69","14550","14650","14300","38354","554856750","231976216100","15834554"
"001060","JW중외제약","28600","-550","-1.89","29000","29500","28200","205380","5917985100","634293116600","22178081"
"001067","JW중외제약2우B","68800","0","0.00","69200","69200","68200","362","25007200","7081377600","102927"
"001065","JW중외제약우","38300","0","0.00","38650","38650","37400","394","14904400","6998750500","182735"
"096760","JW홀딩스","4170","25","0.60","4140","4200","3950","298525","1221837250","293754424020","70444706"
"105560","KB금융","61200","300","0.49","60000","61500","59500","1188794","72145349100","25235972632800","412352494"
"002380","KCC","336000","0","0.00","338000","338500","333000","41191","13811030500","2985854256000","8886471"
"344820","KCC글라스","64200","-900","-1.38","66100","66100","63900","61778","3990030000","1025306870400","15970512"
"009070","KCTC","5950","90","1.54","5870","6120","5850","391824","2360227900","178500000000","30000000"
"009440","KC그린홀딩스","4225","-60","-1.40","4300","4300","4220","46092","195242915","94787790500","22434980"
"119650","KC코트렐","6010","-40","-0.66","6050","6100","5990","41501","250482710","105776000000","17600000"
"092220","KEC","2980","-30","-1.00","3010","3055","2980","1788097","5391480605","431349460180","144748141"
"016380","KG동부제철","11200","50","0.45","11200","11300","10950","201909","2240593050","1120099646400","100008897"
"016385","KG동부제철우","109500","500","0.46","105000","110500","105000","54","5838500","5845657500","53385"
"001390","KG케미칼","30950","350","1.14","30600","31250","30000","121780","3741883150","429155671200","13866096"
"033180","KH 필룩스","2050","-15","-0.73","2070","2090","2045","318373","655620005","294605768550","143710131"
"001940","KISCO홀딩스","17450","-250","-1.41","17800","17950","17400","38005","666869750","322412831000","18476380"
"025000","KPX케미칼","54000","-300","-0.55","54400","54500","54000","2654","143792600","261360000000","4840000"
"092230","KPX홀딩스","61700","0","0.00","61700","62000","61000","1540","94508800","260660658200","4224646"
"000040","KR모터스","902","12","1.35","890","904","879","710517","637034052","86715905936","96137368"
"044450","KSS해운","11300","-50","-0.44","11300","11350","11200","59475","670407950","260870444000","23085880"
"030200","KT","35850","850","2.43","34950","35950","34850","1557092","55526642300","9360858316800","261111808"
"033780","KT&G","80800","0","0.00","80200","80900","80100","170834","13772854900","11093233757600","137292497"
"030210","KTB투자증권","5160","-110","-2.09","5280","5280","5150","281009","1458941080","311220714720","60314092"
"058850","KTcs","2375","25","1.06","2355","2375","2350","75135","177294340","101376875000","42685000"
"058860","KTis","2460","50","2.07","2410","2460","2410","92439","225434450","85612920000","34802000"
"093050","LF","17950","0","0.00","17950","18050","17800","27245","488832100","524858000000","29240000"
"003550","LG","74600","400","0.54","73300","74900","73000","250772","18580515900","11734654077800","157300993"
"034220","LG디스플레이","20450","-100","-0.49","20700","20750","20300","1551044","31751375250","7317331065000","357815700"
"051900","LG생활건강","835000","-32000","-3.69","857000","863000","830000","91054","76218950000","13041194495000","15618197"
"051905","LG생활건강우","509000","-13000","-2.49","521000","522000","507000","3093","1580952000","1068745773000","2099697"
"373220","LG에너지솔루션","436500","-2500","-0.57","439000","443000","430000","481311","210766810000","102141000000000","234000000"
"003555","LG우","60500","100","0.17","60400","61100","60100","3272","197794700","182808010000","3021620"
"032640","LG유플러스","13950","-50","-0.36","13950","14000","13800","837491","11639824700","6090728485950","436611361"
"011070","LG이노텍","391000","-12000","-2.98","400000","409500","386000","402101","159736703500","9253838837000","23667107"
"066570","LG전자","120000","-500","-0.41","120000","121000","119000","477494","57238720000","19637737680000","163647814"
"066575","LG전자우","58400","0","0.00","58400","58400","58000","21517","1251023900","1003661932800","17185992"
"037560","LG헬로비전","5350","-60","-1.11","5420","5450","5260","262338","1396683090","414340727750","77446865"
"051910","LG화학","523000","-3000","-0.57","527000","530000","510000","186517","96921667000","36919795389000","70592343"
"051915","LG화학우","268000","3500","1.32","266000","268000","261000","11199","2965079500","2060598400000","7688800"
"079550","LIG넥스원","78800","2200","2.87","76400","79000","75500","428235","33418806300","1733600000000","22000000"
"006260","LS","51800","500","0.97","51200","51900","50700","54699","2812295600","1667960000000","32200000"
"010120","LS ELECTRIC","45250","-1650","-3.52","46300","46350","45200","126752","5779816400","1357500000000","30000000"
"000680","LS네트웍스","3530","-40","-1.12","3690","3690","3530","180958","648246695","278174646480","78803016"
"229640","LS전선아시아","7830","-50","-0.63","7880","7880","7780","87099","679544140","239792802570","30624879"
