종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5670","20","0.35","5660","5720","5550","69034","387222600","265482412650","46822295"
"006840","AK홀딩스","21350","700","3.39","20400","21500","20400","32137","683475500","282835427350","13247561"
"027410","BGF","5230","50","0.97","5220","5240","5160","82855","431577050","500598816930","95716791"
"282330","BGF리테일","175000","5500","3.24","168500","177500","168500","95057","16645726000","3024683550000","17283906"
"138930","BNK금융지주","7600","110","1.47","7430","7600","7410","754918","5679497430","2477107869600","325935246"
"001460","BYC","454000","-2000","-0.44","455500","457000","451500","271","123207500","283575210000","624615"
"001465","BYC우","178000","2500","1.42","178500","178500","177000","94","16740500","38338530000","215385"
"001040","CJ","81000","800","1.00","79500","81300","79300","51222","4128188200","2363336838000","29176998"
"079160","CJ CGV","26500","900","3.52","25650","26600","25250","474829","12487513300","1081449524000","40809416"
"00104K","CJ4우(전환)","71300","100","0.14","71400","71400","70500","2773","196891900","301350305600","4226512"
"000120","CJ대한통운","134000","1000","0.75","132500","135000","131000","73432","9811733500","3056854096000","22812344"
"011150","CJ씨푸드","3850","65","1.72","3780","3850","3780","196470","751523020","138333476050","35930773"
"011155","CJ씨푸드1우","39700","700","1.79","38800","39700","38300","1488","57845150","7940000000","200000"
"001045","CJ우","49000","500","1.03","48600","49250","48300","1244","60856950","110750927000","2260223"
"097950","CJ제일제당","348500","-6000","-1.69","352000","353500","347500","23166","8079408500","5246383821000","15054186"
"097955","CJ제일제당 우","161500","500","0.31","161000","161500","160500","715","115228000","214380429500","1327433"
"000590","CS홀딩스","68300","900","1.34","67800","69900","66700","3500","237939700","78851120600","1154482"
"012030","DB","902","11","1.23","900","904","889","283664","254359861","181458887566","201173933"
"016610","DB금융투자","6370","130","2.08","6240","6390","6230","90422","571227710","270383497930","42446389"
"005830","DB손해보험","57600","-1300","-2.21","59000","59200","57200","152751","8822346800","4078080000000","70800000"
"000990","DB하이텍","69900","-1300","-1.83","71800","72100","69200","806169","56780069800","3103461301200","44398588"
"000995","DB하이텍1우","95000","300","0.32","95600","95600","94500","199","18980800","10670020000","112316"
"139130","DGB금융지주","9080","80","0.89","9000","9130","9000","316613","2877206110","1535844163640","169145833"
"001530","DI동일","249000","-8500","-3.30","256000","260000","249000","9991","2525257000","625153095000","2510655"
"000210","DL","59200","200","0.34","58400","59300","58400","31722","1863306500","1240588332800","20955884"
"001880","DL건설","29950","700","2.39","29350","30200","29100","60574","1810084750","660495855800","22053284"
"000215","DL우","36950","350","0.96","37000","37000","36550","475","17523300","62301949250","1686115"
"375500","DL이앤씨","134000","1000","0.75","133000","135000","130500","267460","35439813000","2594070892000","19358738"
