종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5800","290","5.26","5590","5930","5580","195418","1126976550","271569311000","46822295"
"006840","AK홀딩스","21800","-50","-0.23","21750","22100","21600","26238","572555850","288796829800","13247561"
"027410","BGF","5260","10","0.19","5250","5340","5230","82408","434588020","503470320660","95716791"
"282330","BGF리테일","178000","500","0.28","176000","180000","176000","35359","6304389000","3076535268000","17283906"
"138930","BNK금융지주","7720","-40","-0.52","7780","7790","7700","495398","3824861760","2516220099120","325935246"
"001460","BYC","439000","3000","0.69","443500","443500","436500","332","146062000","274205985000","624615"
"001465","BYC우","177000","0","0.00","177000","177000","175000","25","4413000","38123145000","215385"
"001040","CJ","81100","-600","-0.73","81600","81900","80800","36622","2973678400","2366254537800","29176998"
"079160","CJ CGV","27000","-50","-0.18","27200","27800","26700","444790","12069915250","1102008699000","40815137"
"00104K","CJ4우(전환)","71300","-500","-0.70","72000","72000","70600","5991","425350800","301350305600","4226512"
"000120","CJ대한통운","131000","-4500","-3.32","135500","135500","131000","37265","4947719500","2988417064000","22812344"
"011150","CJ씨푸드","4000","105","2.70","3900","4000","3895","455867","1808083680","143723092000","35930773"
"011155","CJ씨푸드1우","39600","-100","-0.25","39450","39600","38600","685","26813150","7920000000","200000"
"001045","CJ우","48950","0","0.00","49000","49400","48500","1427","69822100","110637915850","2260223"
"097950","CJ제일제당","353500","0","0.00","353500","356000","352000","19473","6885931500","5321654751000","15054186"
"097955","CJ제일제당 우","160500","-1000","-0.62","162500","162500","160500","1222","196932500","213052996500","1327433"
"000590","CS홀딩스","69500","900","1.31","68500","71500","68200","4196","292721600","80236499000","1154482"
"012030","DB","914","2","0.22","914","917","907","206463","188290059","183872974762","201173933"
"016610","DB금융투자","6430","60","0.94","6380","6430","6370","57875","370875530","272930281270","42446389"
"005830","DB손해보험","61000","0","0.00","60100","61400","60100","114329","6966211900","4318800000000","70800000"
"000990","DB하이텍","72500","600","0.83","72100","74800","72100","1508143","110819320800","3218897630000","44398588"
"000995","DB하이텍1우","95000","1300","1.39","93700","95800","93700","143","13496200","10670020000","112316"
"139130","DGB금융지주","9230","-20","-0.22","9250","9250","9160","164566","1514025880","1561216038590","169145833"
"001530","DI동일","262000","5500","2.14","260000","262000","254000","7124","1840417500","657791610000","2510655"
"000210","DL","59700","300","0.51","59900","60300","59200","28900","1724764700","1251066274800","20955884"
"001880","DL건설","29700","-750","-2.46","30400","30500","29500","42443","1265295050","654982534800","22053284"
"000215","DL우","37550","200","0.54","37800","37800","37300","1393","52188850","63313618250","1686115"
"375500","DL이앤씨","125500","-2500","-1.95","128000","128500","125000","152604","19225508000","2429521619000","19358738"
"37550K","DL이앤씨우","69700","-100","-0.14","71300","71300","69500","1742","121662400","147337784500","2113885"
"004840","DRB동일","5120","60","1.19","5060","5130","5020","16938","85763020","102041600000","19930000"
"155660","DSR","6470","610","10.41","5860","6780","5860","3901553","25087936140","103520000000","16000000"
"069730","DSR제강","5260","315","6.37","4945","5380","4945","747650","3894665630","75744000000","14400000"
"017940","E1","46850","-150","-0.32","47400","47400","46500","3532","165897200","321391000000","6860000"
"365550","ESR켄달스퀘어리츠","6630","-170","-2.50","6800","6820","6630","276648","1853896880","1412780070000","213089000"
"383220","F&F","733000","-15000","-2.01","752000","753000","730000","21029","15459260000","5615817195000","7661415"
"007700","F&F홀딩스","26450","450","1.73","26300","26850","26250","40156","1062667700","1034575007150","39114367"
"114090","GKL","14650","-50","-0.34","14800","15100","14650","236307","3503628550","906185565500","61855670"
"078930","GS","40050","-250","-0.62","40300","40350","39850","133914","5356397050","3721260888900","92915378"
"006360","GS건설","45400","-700","-1.52","46100","46300","44700","942812","42658914450","3885399646000","85581490"
"001250","GS글로벌","2410","50","2.12","2375","2420","2350","480123","1145416245","198906371240","82533764"
"007070","GS리테일","28350","-50","-0.18","28550","28550","28150","170038","4817437650","2968753088700","104717922"
"078935","GS우","34600","0","0.00","34600","34750","34500","1112","38427700","61754979600","1784826"
"012630","HDC","7750","70","0.91","7730","7810","7710","204824","1590202720","462998337750","59741721"
"039570","HDC랩스","10900","150","1.40","10750","11000","10700","30451","331534150","282937850900","25957601"
"089470","HDC현대EP","4705","-40","-0.84","4745","4770","4690","39909","188498275","150089500000","31900000"
"294870","HDC현대산업개발","16800","-600","-3.45","17450","17550","16750","874473","14920774600","1107243144000","65907330"
"097230","HJ중공업","7890","90","1.15","7800","8090","7800","35399","282160130","657034077090","83274281"
"011200","HMM","32600","-1350","-3.98","34000","34000","32600","5197077","171191515750","15942687569600","489039496"
"082740","HSD엔진","9120","-40","-0.44","9200","9350","9110","212061","1954709970","426097763520","46721246"
"003560","IHQ","1205","20","1.69","1185","1215","1170","706008","844467350","182411220230","151378606"
"175330","JB금융지주","8200","160","1.99","8120","8200","8070","231150","1888323180","1615259730800","196982894"
"234080","JW생명과학","14900","100","0.68","15000","15000","14800","26304","390525950","235934854600","15834554"
"001060","JW중외제약","25450","0","0.00","25450","25800","25250","139729","3560354800","564432161450","22178081"
"001067","JW중외제약2우B","67500","1900","2.90","65600","67500","65200","740","49773900","6947572500","102927"
"001065","JW중외제약우","36950","350","0.96","36550","36950","36200","1044","38472200","6752058250","182735"
"096760","JW홀딩스","3860","-25","-0.64","3905","3990","3700","184503","716491495","271916565160","70444706"
"105560","KB금융","57400","-100","-0.17","57100","58000","57000","734740","42220362100","23669033155600","412352494"
"002380","KCC","328000","3000","0.92","327500","329000","325000","48424","15846919000","2914762488000","8886471"
"344820","KCC글라스","65700","1900","2.98","64100","66100","62900","168380","10988263200","1049262638400","15970512"
"009070","KCTC","5950","130","2.23","5820","6050","5750","352499","2099270390","178500000000","30000000"
"009440","KC그린홀딩스","4170","15","0.36","4160","4180","4120","40608","168870105","93553866600","22434980"
"119650","KC코트렐","6080","70","1.16","6090","6200","6050","73135","446276430","107008000000","17600000"
"092220","KEC","2990","-50","-1.64","3105","3160","2990","6024063","18473087780","432796941590","144748141"
