종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4960","140","2.90","4830","4960","4800","22970","111157420","232238583200","46822295"
"006840","AK홀딩스","16850","1150","7.32","15600","17750","15600","32047","529817000","223221402850","13247561"
"027410","BGF","4640","240","5.45","4470","4640","4395","109221","493964255","444125910240","95716791"
"282330","BGF리테일","162000","6500","4.18","158000","164000","157500","56515","9150331000","2799992772000","17283906"
"138930","BNK금융지주","8040","110","1.39","8000","8050","7870","1302487","10397925120","2620519377840","325935246"
"001460","BYC","450500","12000","2.74","438000","452000","428500","1519","665058000","281389057500","624615"
"001465","BYC우","178000","8000","4.71","174000","178000","173000","123","21558500","38338530000","215385"
"001040","CJ","79400","3600","4.75","76900","80300","75300","89615","7023163800","2316653641200","29176998"
"079160","CJ CGV","21350","1400","7.02","19850","21450","19800","262245","5409066800","871243989350","40807681"
"00104K","CJ4우(전환)","70700","3000","4.43","67700","70800","67000","12128","840675500","298814398400","4226512"
"000120","CJ대한통운","116000","3000","2.65","113500","117000","113000","40308","4651458000","2646231904000","22812344"
"011150","CJ씨푸드","3525","110","3.22","3400","3530","3385","91013","316309100","126655974825","35930773"
"011155","CJ씨푸드1우","36700","250","0.69","36850","36850","36150","124","4551600","7340000000","200000"
"001045","CJ우","46500","1500","3.33","45500","46850","45100","1939","89358350","105100369500","2260223"
"097950","CJ제일제당","346000","14000","4.22","336000","351000","334500","69761","24028938500","5208748356000","15054186"
"097955","CJ제일제당 우","151500","2500","1.68","149000","154000","149000","3710","566012500","201106099500","1327433"
"000590","CS홀딩스","62100","1800","2.99","60100","62100","60000","627","38227200","71693332200","1154482"
"012030","DB","862","13","1.53","859","872","842","360696","308893371","173411930246","201173933"
"016610","DB금융투자","6420","170","2.72","6260","6440","6260","93113","591526550","272505817380","42446389"
"005830","DB손해보험","60200","100","0.17","61400","62000","59600","162032","9804768900","4262160000000","70800000"
"000990","DB하이텍","74100","1800","2.49","72400","74800","70200","1252340","91467949400","3289935370800","44398588"
"000995","DB하이텍1우","96200","2300","2.45","96100","96200","93200","249","23821000","10804799200","112316"
"139130","DGB금융지주","9230","70","0.76","9240","9350","9200","332356","3086383010","1561216038590","169145833"
"001530","DI동일","218000","1500","0.69","216000","221000","208500","9897","2127995500","547322790000","2510655"
"000210","DL","55900","1700","3.14","54400","57500","53900","95644","5333060400","1171433915600","20955884"
"001880","DL건설","27850","1400","5.29","26150","27950","25800","33282","911480050","614183959400","22053284"
"000215","DL우","35200","1500","4.45","33400","35250","33400","962","33299950","59351248000","1686115"
"375500","DL이앤씨","116500","8500","7.87","109000","116500","107500","307996","34943929000","2255292977000","19358738"
"37550K","DL이앤씨우","63700","2600","4.26","61200","64400","61200","6213","392744900","134654474500","2113885"
"004840","DRB동일","4845","110","2.32","4780","4895","4675","8598","40997490","96560850000","19930000"
"155660","DSR","5100","135","2.72","4965","5130","4865","133066","662289160","81600000000","16000000"
