종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5230","150","2.95","5070","5230","5030","66739","343336660","244880602850","46822295"
"006840","AK홀딩스","18650","550","3.04","18100","18650","17950","25722","470175750","247067012650","13247561"
"027410","BGF","5030","35","0.70","4995","5030","4985","67853","339615410","481455458730","95716791"
"282330","BGF리테일","157000","-2500","-1.57","158500","161000","155500","37847","5948268500","2713573242000","17283906"
"138930","BNK금융지주","8430","-210","-2.43","8690","8720","8410","1536942","13052726960","2747634123780","325935246"
"001460","BYC","506000","9500","1.91","496500","507000","492000","689","343547000","316055190000","624615"
"001465","BYC우","188500","1500","0.80","189000","189000","185000","113","21071000","40600072500","215385"
"001040","CJ","80500","800","1.00","80400","81000","79400","60097","4842725200","2348748339000","29176998"
"079160","CJ CGV","24150","600","2.55","23300","24250","23300","133222","3175717400","985482094800","40806712"
"00104K","CJ4우(전환)","69500","300","0.43","69200","69500","68400","3245","224932200","293742584000","4226512"
"000120","CJ대한통운","124000","4000","3.33","120500","125000","120000","35024","4313582000","2828730656000","22812344"
"011150","CJ씨푸드","3800","80","2.15","3705","3830","3705","69003","260878485","136536937400","35930773"
"011155","CJ씨푸드1우","37300","100","0.27","37450","37450","37300","459","17121000","7460000000","200000"
"001045","CJ우","49000","300","0.62","49200","49200","48100","770","37415850","110750927000","2260223"
"097950","CJ제일제당","366000","-1000","-0.27","369000","371500","364000","27787","10178915500","5509832076000","15054186"
"097955","CJ제일제당 우","164000","-1500","-0.91","169000","169000","163000","3210","526483500","217699012000","1327433"
"000590","CS홀딩스","63500","900","1.44","62700","63500","61800","1065","66913100","73309607000","1154482"
"012030","DB","930","16","1.75","911","934","911","281820","260670276","187091757690","201173933"
"016610","DB금융투자","6600","-30","-0.45","6640","6670","6600","52222","345599090","280146167400","42446389"
"005830","DB손해보험","63500","-1500","-2.31","65000","65700","62700","157014","10014904000","4495800000000","70800000"
"000990","DB하이텍","84900","2100","2.54","83000","84900","81900","623829","52148544600","3769440121200","44398588"
"000995","DB하이텍1우","100000","900","0.91","99500","100000","99500","279","27829600","11231600000","112316"
"139130","DGB금융지주","9510","-170","-1.76","9730","9740","9390","593105","5649821760","1608576871830","169145833"
"001530","DI동일","255500","4000","1.59","247500","255500","247500","7763","1948265000","641472352500","2510655"
"000210","DL","62900","-100","-0.16","62700","64100","62700","34951","2217101800","1318125103600","20955884"
"001880","DL건설","28500","650","2.33","27800","28850","27650","26221","743290300","628518594000","22053284"
"000215","DL우","37300","200","0.54","36700","37300","36600","1571","57753450","62892089500","1686115"
"375500","DL이앤씨","123500","-1000","-0.80","125000","126000","122500","66303","8228869500","2390804143000","19358738"
"37550K","DL이앤씨우","68000","0","0.00","67800","68300","66700","5639","380422700","143744180000","2113885"
"004840","DRB동일","5170","10","0.19","5160","5170","5070","6271","31995540","103038100000","19930000"
"155660","DSR","5550","60","1.09","5460","5630","5430","45726","252798570","88800000000","16000000"
"069730","DSR제강","4670","95","2.08","4515","4670","4515","47738","220071000","67248000000","14400000"
"017940","E1","47000","500","1.08","46350","47000","46050","4597","213725900","322420000000","6860000"
"365550","ESR켄달스퀘어리츠","6150","50","0.82","6140","6190","6070","168070","1030650980","1310497350000","213089000"
"383220","F&F","899000","21000","2.39","886000","899000","869000","14783","13044456000","6887612085000","7661415"
"007700","F&F홀딩스","29500","350","1.20","29150","29500","28750","46974","1371890850","1153873826500","39114367"
"114090","GKL","13450","250","1.89","13150","13650","13150","142867","1911467350","831958761500","61855670"
"078930","GS","39550","-300","-0.75","40100","40300","39350","148859","5908686300","3674803199900","92915378"
"006360","GS건설","41200","500","1.23","40700","41850","40650","548412","22615527600","3525957388000","85581490"
"001250","GS글로벌","2245","30","1.35","2220","2250","2190","173468","384872810","185288300180","82533764"
"007070","GS리테일","28600","-200","-0.69","28800","29050","28400","169042","4828313850","2994932569200","104717922"
"078935","GS우","33700","-200","-0.59","33950","34050","33700","2843","96174050","60148636200","1784826"
"012630","HDC","7260","0","0.00","7260","7320","6960","1317263","9423096340","433724894460","59741721"
