종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5040","20","0.40","5020","5060","5000","32307","162268270","235984366800","46822295"
"006840","AK홀딩스","19900","400","2.05","19500","20050","19400","19923","395389850","263626463900","13247561"
"027410","BGF","5170","20","0.39","5150","5180","5130","87897","453105830","494855809470","95716791"
"282330","BGF리테일","146000","7500","5.42","139000","146500","139000","53814","7750360500","2523450276000","17283906"
"138930","BNK금융지주","8920","120","1.36","8810","8920","8750","2140077","18980766940","2907342394320","325935246"
"001460","BYC","494500","1000","0.20","493500","499500","490000","467","230918500","308872117500","624615"
"001465","BYC우","194000","0","0.00","194000","194000","193000","68","13188000","41784690000","215385"
"001040","CJ","82900","400","0.48","82000","83300","82000","68776","5697498200","2418773134200","29176998"
"079160","CJ CGV","24900","350","1.43","24450","25300","24400","279386","6967606500","1016060958900","40805661"
"00104K","CJ4우(전환)","71600","0","0.00","71300","71600","70900","4320","308029300","302618259200","4226512"
"000120","CJ대한통운","128000","500","0.39","128000","128000","127000","23848","3044466000","2919980032000","22812344"
"011150","CJ씨푸드","3925","70","1.82","3855","3945","3855","335972","1312690430","141028284025","35930773"
"011155","CJ씨푸드1우","37450","750","2.04","36500","37450","36100","507","18593350","7490000000","200000"
"001045","CJ우","49500","0","0.00","49500","49700","49500","2485","123236700","111881038500","2260223"
"097950","CJ제일제당","380000","-3000","-0.78","381000","385500","379000","46366","17703012000","5720590680000","15054186"
"097955","CJ제일제당 우","172500","0","0.00","173000","174500","172000","2771","479390500","228982192500","1327433"
"000590","CS홀딩스","65300","200","0.31","65200","65600","64500","1746","113532200","75387674600","1154482"
"012030","DB","967","6","0.62","963","972","960","235775","227749196","194535193211","201173933"
"016610","DB금융투자","6790","60","0.89","6750","6790","6710","95707","647622650","288210981310","42446389"
"005830","DB손해보험","65000","300","0.46","64800","65900","64300","146551","9537145800","4602000000000","70800000"
"000990","DB하이텍","82200","100","0.12","82600","83700","81400","1023676","84413440400","3649563933600","44398588"
"000995","DB하이텍1우","100000","0","0.00","99600","100000","99600","376","37529700","11231600000","112316"
"139130","DGB금융지주","9670","-30","-0.31","9690","9710","9620","245359","2371788920","1635640205110","169145833"
"001530","DI동일","266500","-2500","-0.93","271000","271500","264500","5229","1391984500","669089557500","2510655"
"000210","DL","65600","-1300","-1.94","66700","67200","65600","52654","3487232800","1374705990400","20955884"
"001880","DL건설","30600","-800","-2.55","31350","31350","30300","37685","1153870000","674830490400","22053284"
"000215","DL우","37700","300","0.80","37450","38000","37450","3574","135223450","63566535500","1686115"
"375500","DL이앤씨","128000","-2000","-1.54","130000","131000","126500","137698","17655359500","2477918464000","19358738"
"37550K","DL이앤씨우","70500","-100","-0.14","70100","70900","69900","4774","335264000","149028892500","2113885"
"004840","DRB동일","5250","20","0.38","5220","5270","5190","3020","15799470","104632500000","19930000"
"155660","DSR","5930","120","2.07","5890","5960","5820","96284","568318120","94880000000","16000000"
"069730","DSR제강","4970","60","1.22","4910","4980","4910","67843","335884220","71568000000","14400000"
"017940","E1","47900","50","0.10","47850","48250","47600","4455","213170100","328594000000","6860000"
"365550","ESR켄달스퀘어리츠","6140","-100","-1.60","6240","6260","6140","216400","1341186110","1308366460000","213089000"
"383220","F&F","908000","21000","2.37","910000","925000","897000","28754","26195897000","6956564820000","7661415"
"007700","F&F홀딩스","31800","200","0.63","31800","31950","31500","55966","1771697350","1243836870600","39114367"
"114090","GKL","13850","600","4.53","13200","13900","13200","472428","6474556600","856701029500","61855670"
"078930","GS","40300","-250","-0.62","40650","40800","40150","238584","9637932300","3744489733400","92915378"
"006360","GS건설","44500","650","1.48","43300","44900","43150","828327","36697239800","3808376305000","85581490"
"001250","GS글로벌","2390","10","0.42","2390","2440","2380","419184","1009714475","197255695960","82533764"
"007070","GS리테일","29750","150","0.51","29600","29900","29500","115564","3432594800","3115358179500","104717922"
"078935","GS우","34250","50","0.15","34250","34300","34150","2758","94427900","61130290500","1784826"
"012630","HDC","8790","-400","-4.35","8870","8990","8720","2125342","18742630640","525129727590","59741721"
"039570","HDC랩스","10500","-150","-1.41","10550","10750","10200","160676","1681422050","272554810500","25957601"
"089470","HDC현대EP","5460","-280","-4.88","5740","5740","5410","331582","1826504990","174174000000","31900000"
"294870","HDC현대산업개발","20600","-250","-1.20","19800","20700","19500","5372700","107957314450","1357690998000","65907330"
"011200","HMM","26250","-100","-0.38","26500","26750","26000","1336667","35104633400","12837286770000","489039496"
"082740","HSD엔진","9990","-60","-0.60","10000","10450","9940","946881","9550963540","466745247540","46721246"
"003560","IHQ","1385","30","2.21","1370","1385","1335","803513","1088051300","202536510980","146235748"
"175330","JB금융지주","8780","20","0.23","8760","8780","8690","365090","3195013710","1729509809320","196982894"
"234080","JW생명과학","14000","250","1.82","13700","14200","13450","62964","866792500","221683756000","15834554"
"001060","JW중외제약","21900","-500","-2.23","22400","22400","21900","70798","1560233400","471724379400","21539926"
"001067","JW중외제약2우B","59800","-600","-0.99","59400","60300","59400","185","11022700","5980000000","100000"
"001065","JW중외제약우","33850","0","0.00","33500","33900","33500","182","6135350","6007901100","177486"
"096760","JW홀딩스","3645","5","0.14","3640","3670","3580","40200","145556760","249468108390","68441182"
"105560","KB금융","62300","400","0.65","62300","62300","61200","1673509","103534530458","25904833416000","415807920"
"002380","KCC","374000","-1500","-0.40","378000","383500","372500","66364","25000239500","3323540154000","8886471"
"344820","KCC글라스","64700","200","0.31","64300","65200","64000","44019","2839064800","1033292126400","15970512"
"009070","KCTC","6050","-50","-0.82","6110","6160","6030","67779","412238940","181500000000","30000000"
"009440","KC그린홀딩스","4590","30","0.66","4550","4620","4505","59577","271602215","102976558200","22434980"
"119650","KC코트렐","6250","-20","-0.32","6320","6330","6210","36198","227071790","110000000000","17600000"
"092220","KEC","3850","100","2.67","3800","3905","3775","9484713","36470631715","557280342850","144748141"
"016380","KG동부제철","11800","150","1.29","11800","12150","11650","388243","4606083000","1180104984600","100008897"
"016385","KG동부제철우","95500","-400","-0.42","94500","96000","94100","65","6179400","5098267500","53385"
"001390","KG케미칼","30500","-50","-0.16","30550","30900","30500","39527","1210860950","422915928000","13866096"
"033180","KH 필룩스","2495","-35","-1.38","2535","2560","2470","507972","1271042280","341142008680","136730264"
"001940","KISCO홀딩스","15600","300","1.96","15350","15650","15300","19535","302764650","288231528000","18476380"
"025000","KPX케미칼","54300","600","1.12","53900","54400","53600","5001","269962200","262812000000","4840000"
"092230","KPX홀딩스","63100","100","0.16","63000","63400","62500","981","61674200","266575162600","4224646"
"000040","KR모터스","869","0","0.00","874","880","866","122007","106151112","83543372792","96137368"
"044450","KSS해운","11650","-50","-0.43","11600","11700","11600","28964","338028650","270115502000","23185880"
"030200","KT","31300","350","1.13","30950","31500","30950","1032376","32342226750","8172799590400","261111808"
