종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5120","30","0.59","5090","5170","5060","66354","338463720","239730150400","46822295"
"006840","AK홀딩스","19500","-50","-0.26","19450","19900","19450","14467","283448750","258327439500","13247561"
"027410","BGF","5250","20","0.38","5290","5290","5230","57806","304089170","502513152750","95716791"
"282330","BGF리테일","140000","-1500","-1.06","143500","144500","139500","28464","4012187000","2419746840000","17283906"
"138930","BNK금융지주","8560","80","0.94","8510","8570","8410","1244991","10555521140","2790005705760","325935246"
"001460","BYC","513000","14000","2.81","506000","513000","491000","1011","508867000","320427495000","624615"
"001465","BYC우","198000","1000","0.51","197000","198500","197000","89","17624500","42646230000","215385"
"001040","CJ","81900","600","0.74","81000","82000","80600","43418","3526070900","2389596136200","29176998"
"079160","CJ CGV","24400","200","0.83","24200","24550","24050","118371","2884101250","926063252800","37953412"
"00104K","CJ4우(전환)","71000","1300","1.87","69700","71000","69300","3191","222967800","300082352000","4226512"
"000120","CJ대한통운","127500","2000","1.59","125500","127500","125000","32423","4089380500","2908573860000","22812344"
"011150","CJ씨푸드","3875","70","1.84","3805","3890","3800","250470","965321235","139231745375","35930773"
"011155","CJ씨푸드1우","36950","150","0.41","36800","36950","36750","132","4859750","7390000000","200000"
"001045","CJ우","49450","550","1.12","48950","49600","48850","3190","156722700","111768027350","2260223"
"097950","CJ제일제당","380500","6000","1.60","374000","382000","373000","26954","10202174000","5728117773000","15054186"
"097955","CJ제일제당 우","174500","1500","0.87","173000","175000","172500","2582","447088000","231637058500","1327433"
"000590","CS홀딩스","65000","-100","-0.15","65100","65100","64300","1386","89909700","75041330000","1154482"
"012030","DB","970","9","0.94","962","978","961","254373","246964429","195138715010","201173933"
"016610","DB금융투자","6620","70","1.07","6570","6640","6550","115874","762556820","280995095180","42446389"
"005830","DB손해보험","60600","300","0.50","59700","61200","59500","163138","9880160100","4290480000000","70800000"
"000990","DB하이텍","77900","5600","7.75","73400","78600","73000","2108236","161910196100","3458650005200","44398588"
"000995","DB하이텍1우","103000","3500","3.52","100500","103000","100500","482","49183000","11568548000","112316"
"139130","DGB금융지주","9490","50","0.53","9450","9490","9370","364404","3432625350","1605193955170","169145833"
"001530","DI동일","267000","2000","0.75","265500","268500","264000","5127","1364994000","670344885000","2510655"
"000210","DL","66200","1300","2.00","64100","66600","63700","131944","8702013900","1387279520800","20955884"
"001880","DL건설","29200","1000","3.55","28200","29350","28200","58040","1685196500","643955892800","22053284"
"000215","DL우","38000","400","1.06","37900","38200","37800","1054","40071400","64072370000","1686115"
"375500","DL이앤씨","132000","1500","1.15","131500","133500","129500","178450","23566223500","2555353416000","19358738"
"37550K","DL이앤씨우","71500","500","0.70","70800","71700","70700","3456","246353700","151142777500","2113885"
"004840","DRB동일","5320","90","1.72","5180","5340","5180","11097","58670900","106027600000","19930000"
"155660","DSR","5950","70","1.19","5880","6040","5760","125480","739769730","95200000000","16000000"
"069730","DSR제강","4940","-40","-0.80","4935","4960","4880","99077","487983355","71136000000","14400000"
"017940","E1","48000","400","0.84","47850","48050","47550","5917","283579950","329280000000","6860000"
"365550","ESR켄달스퀘어리츠","6320","110","1.77","6210","6330","6210","314289","1980947410","1346722480000","213089000"
"383220","F&F","908000","35000","4.01","875000","920000","874000","32576","29336182000","6956564820000","7661415"
"007700","F&F홀딩스","32800","600","1.86","32150","32800","32150","37943","1229982150","1282951237600","39114367"
"114090","GKL","13250","250","1.92","13000","13300","12900","144390","1894594350","819587627500","61855670"
"078930","GS","39700","-350","-0.87","40300","40550","39650","205446","8211927300","3688740506600","92915378"
"006360","GS건설","44350","600","1.37","43650","44700","43150","869943","38268904500","3795539081500","85581490"
"001250","GS글로벌","2470","-5","-0.20","2475","2500","2460","232861","576064820","203858397080","82533764"
"007070","GS리테일","29850","200","0.67","29500","30200","29400","172559","5135538200","3125829971700","104717922"
"078935","GS우","34550","100","0.29","34600","34650","34300","1483","51179800","61665738300","1784826"
"012630","HDC","10500","150","1.45","10400","10500","10350","115440","1207492200","627288070500","59741721"
"039570","HDC랩스","11850","350","3.04","11600","12000","11300","19761","232802550","307597571850","25957601"
"089470","HDC현대EP","5800","50","0.87","5750","5840","5720","60132","347430210","185020000000","31900000"
"294870","HDC현대산업개발","25000","150","0.60","25100","25550","24600","461837","11597577700","1647683250000","65907330"
"011200","HMM","26400","100","0.38","26250","26500","25850","1489092","39055675700","12910642694400","489039496"
"082740","HSD엔진","9180","-200","-2.13","9450","9710","8980","1735798","16081324550","428901038280","46721246"
"003560","IHQ","1405","15","1.08","1400","1420","1390","589207","827648070","205461225940","146235748"
"175330","JB금융지주","8340","0","0.00","8400","8430","8320","230019","1919922390","1642837335960","196982894"
"234080","JW생명과학","13900","-100","-0.71","14000","14050","13700","16727","232310100","220100300600","15834554"
"001060","JW중외제약","22750","-50","-0.22","22850","23000","22750","38157","870720800","490033316500","21539926"
"001067","JW중외제약2우B","60700","100","0.17","61100","61100","60000","60","3645900","6070000000","100000"
"001065","JW중외제약우","34150","50","0.15","34400","34400","34100","152","5197300","6061146900","177486"
"096760","JW홀딩스","3610","5","0.14","3615","3660","3580","37526","135747115","247072667020","68441182"
"105560","KB금융","55700","-100","-0.18","56000","56100","54800","1193940","66209460700","23160501144000","415807920"
"002380","KCC","379000","-8500","-2.19","392500","396500","373500","122196","46632314000","3367972509000","8886471"
"344820","KCC글라스","66000","800","1.23","66100","66800","65000","142567","9423394300","1054053792000","15970512"
"009070","KCTC","6150","10","0.16","6080","6200","6080","65404","401959110","184500000000","30000000"
"009440","KC그린홀딩스","4605","-25","-0.54","4680","4680","4600","63555","293334555","103313082900","22434980"
"119650","KC코트렐","6440","210","3.37","6300","6500","6230","126976","816093940","113344000000","17600000"
"092220","KEC","3750","25","0.67","3770","3810","3745","4308008","16244659155","542805528750","144748141"
"016380","KG동부제철","11600","-200","-1.69","11800","11850","11400","312155","3617170800","1160103205200","100008897"
"016385","KG동부제철우","94700","-300","-0.32","95000","95000","93100","75","7126900","5055559500","53385"
"001390","KG케미칼","30450","300","1.00","30000","30700","30000","52548","1598813700","422222623200","13866096"
"033180","KH 필룩스","2610","75","2.96","2510","2635","2510","544202","1406178490","356865989040","136730264"
"001940","KISCO홀딩스","15350","-200","-1.29","15550","15600","15150","14921","228656150","283612433000","18476380"
"025000","KPX케미칼","53600","100","0.19","53500","54000","52900","3261","174901500","259424000000","4840000"
"092230","KPX홀딩스","63200","0","0.00","63200","63800","63000","1541","97413400","266997627200","4224646"
"000040","KR모터스","906","1","0.11","910","924","905","222124","201995047","87100455408","96137368"
"044450","KSS해운","11600","50","0.43","11500","11700","11500","31422","364160250","268956208000","23185880"
"030200","KT","30250","0","0.00","30250","30450","30100","638257","19322030250","7898632192000","261111808"
"033780","KT&G","78400","-300","-0.38","78500","78800","78200","282420","22166811300","10763731764800","137292497"
"030210","KTB투자증권","5170","110","2.17","5040","5180","5000","345366","1761737770","311823855640","60314092"
"058850","KTcs","2565","45","1.79","2520","2570","2520","49647","126715745","109487025000","42685000"
"058860","KTis","2530","10","0.40","2520","2545","2515","63965","161746485","88049060000","34802000"
"093050","LF","16900","-100","-0.59","17050","17050","16850","34155","577941050","494156000000","29240000"
"003550","LG","81600","800","0.99","80500","82000","80300","593241","48323815519","12835761028800","157300993"
"034220","LG디스플레이","24150","150","0.63","24450","24450","23550","3835021","91947847400","8641249155000","357815700"
"051900","LG생활건강","1104000","17000","1.56","1101000","1110000","1086000","49583","54605390000","17242489488000","15618197"
"051905","LG생활건강우","611000","-3000","-0.49","613000","619000","607000","1637","1000136000","1282914867000","2099697"
"003555","LG우","62900","800","1.29","62100","63000","62100","4016","251319700","190059898000","3021620"
"032640","LG유플러스","13550","200","1.50","13400","13600","13350","1360941","18382034800","5916083941550","436611361"
"011070","LG이노텍","337000","7500","2.28","332000","349500","332000","574851","196005109500","7975815059000","23667107"
"066570","LG전자","137500","2500","1.85","136500","138000","135000","808243","110543465500","22501574425000","163647814"
"066575","LG전자우","64400","400","0.63","64600","65200","64000","42290","2734640400","1106777884800","17185992"
"037560","LG헬로비전","5340","80","1.52","5240","5400","5240","153952","824585850","413566259100","77446865"
"051910","LG화학","719000","29000","4.20","720000","722000","691000","836306","592892282704","50755894617000","70592343"
"051915","LG화학우","315500","10000","3.27","312000","316000","304000","38974","12190551840","2425816400000","7688800"
"079550","LIG넥스원","66200","800","1.22","65300","67100","64500","212502","14047223800","1456400000000","22000000"
"006260","LS","54500","500","0.93","53800","55100","53200","86982","4747729200","1754900000000","32200000"
"010120","LS ELECTRIC","54900","0","0.00","54900","55800","54600","62733","3449183200","1647000000000","30000000"
"000680","LS네트웍스","3030","-15","-0.49","3090","3090","3010","51678","156947570","238773138480","78803016"
"229640","LS전선아시아","7910","-30","-0.38","8000","8000","7890","82132","651604300","242242792890","30624879"
"001120","LX인터내셔널","26100","100","0.38","26000","26200","25550","329702","8520753850","1011636000000","38760000"
"108670","LX하우시스","66300","500","0.76","66200","66500","64700","80106","5277406100","594556521000","8967670"
"108675","LX하우시스우","30200","350","1.17","29850","30250","29850","1714","51579900","31176366000","1032330"
"383800","LX홀딩스","10300","50","0.49","10250","10400","10200","310636","3209798750","785691107000","76280690"
"38380K","LX홀딩스1우","15500","50","0.32","15450","15700","15450","4479","69548450","22711917500","1465285"
"023150","MH에탄올","10100","-100","-0.98","10100","10250","10050","36648","371000800","74523112600","7378526"
"035420","NAVER","338000","-500","-0.15","338000","343500","337000","787839","267513155280","55448590730000","164049085"
"181710","NHN","40450","0","0.00","40400","41000","40100","72631","2940299450","791405261250","19565025"
"400760","NH올원리츠","5170","0","0.00","5170","5200","5160","138443","716350350","218174000000","42200000"
"005940","NH투자증권","11950","200","1.70","11800","12000","11750","783735","9294515100","3549554949650","297033887"
"005945","NH투자증권우","11350","100","0.89","11250","11350","11250","39144","442806550","214185486800","18870968"
"338100","NH프라임리츠","4755","0","0.00","4760","4765","4740","19653","93382060","88728300000","18660000"
"034310","NICE","16800","400","2.44","16450","16900","16450","49878","834085050","636422640000","37882300"
"008260","NI스틸","3750","10","0.27","3740","3765","3585","215595","797063235","107250438750","28600117"
"004250","NPC","10050","-100","-0.99","10150","10250","10000","1371771","13834792410","369036000000","36720000"
"004255","NPC우","4950","205","4.32","4940","4950","4825","44452","217104585","26136000000","5280000"
"010060","OCI","108000","3000","2.86","105500","108500","103500","336914","35635409500","2575732068000","23849371"
"178920","PI첨단소재","52200","600","1.16","51700","53500","51100","102290","5373344500","1532922008400","29366322"
"005490","POSCO","305000","500","0.16","301500","306500","298000","518413","156981193000","26591984675000","87186835"
"010950","S-Oil","97300","4900","5.30","95800","98800","94800","770254","74654054900","10954305661600","112582792"
"010955","S-Oil우","56200","1200","2.18","56000","57200","55600","23556","1327601700","226032297400","4021927"
"034120","SBS","49100","350","0.72","49000","50100","48500","112618","5535359950","896201776200","18252582"
"101060","SBS미디어홀딩스","1930","0","0.00","0","0","0","0","0","269999646700","139896190"
"005090","SGC에너지","45900","200","0.44","45700","46000","45600","18408","842775150","673674483600","14677004"
"001380","SG글로벌","2140","-85","-3.82","2215","2215","2135","1069185","2315434045","96223266020","44964143"
"004060","SG세계물산","870","-51","-5.54","892","936","870","21750437","19587063297","176109715200","202424960"
"001770","SHD","29650","-500","-1.66","30000","30150","29650","3753","112243750","36021132700","1214878"
"002360","SH에너지화학","1005","15","1.52","998","1010","991","1070476","1070418353","111689398650","111133730"
"009160","SIMPAC","6300","100","1.61","6170","6390","6170","72589","457350080","412205950800","65429516"
