종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4985","-65","-1.29","5050","5070","4980","44098","221398750","233409140575","46822295"
"006840","AK홀딩스","16550","0","0.00","16600","16800","16500","11346","189168050","219247134550","13247561"
"027410","BGF","4650","-50","-1.06","4610","4740","4610","118081","553660170","445083078150","95716791"
"282330","BGF리테일","158000","1000","0.64","157500","163000","157500","40723","6509245000","2730857148000","17283906"
"138930","BNK금융지주","8020","50","0.63","7980","8090","7920","1169116","9370950920","2614000672920","325935246"
"001460","BYC","463500","-3500","-0.75","474500","483000","462000","893","419326500","289509052500","624615"
"001465","BYC우","180000","0","0.00","185000","185000","178000","31","5545500","38769300000","215385"
"001040","CJ","77600","900","1.17","76600","78500","76500","62901","4898884400","2264135044800","29176998"
"079160","CJ CGV","21050","-450","-2.09","21350","21500","20800","214305","4541803000","858981287600","40806712"
"00104K","CJ4우(전환)","69000","1200","1.77","67100","69400","67100","6600","452147300","291629328000","4226512"
"000120","CJ대한통운","117000","-500","-0.43","117000","118500","117000","27250","3197208500","2669044248000","22812344"
"011150","CJ씨푸드","3620","-20","-0.55","3580","3700","3580","130727","475617385","130069398260","35930773"
"011155","CJ씨푸드1우","36300","150","0.41","36500","36500","36150","70","2542350","7260000000","200000"
"001045","CJ우","46450","150","0.32","46300","47200","46300","872","40676300","104987358350","2260223"
"097950","CJ제일제당","355000","3500","1.00","354500","359000","350000","32770","11621117000","5344236030000","15054186"
"097955","CJ제일제당 우","155000","1000","0.65","154000","156000","153500","2422","374191000","205752115000","1327433"
"000590","CS홀딩스","62500","200","0.32","62300","62700","61200","1261","77734200","72155125000","1154482"
"012030","DB","872","5","0.58","855","885","855","427618","371209300","175423669576","201173933"
"016610","DB금융투자","6300","90","1.45","6210","6350","6180","86734","544256010","267412250700","42446389"
"005830","DB손해보험","63000","1400","2.27","62300","63900","62000","125473","7891510900","4460400000000","70800000"
"000990","DB하이텍","74700","-1800","-2.35","77100","77500","74200","867373","65319899300","3316574523600","44398588"
"000995","DB하이텍1우","96800","-600","-0.62","97100","99600","96700","403","39256100","10872188800","112316"
"139130","DGB금융지주","9230","130","1.43","9170","9330","9150","263496","2432019230","1561216038590","169145833"
"001530","DI동일","227500","-6000","-2.57","232000","234000","227500","9647","2224389500","571174012500","2510655"
"000210","DL","57000","-100","-0.18","56600","57800","56600","39639","2269667200","1194485388000","20955884"
"001880","DL건설","26050","-550","-2.07","26500","27050","26000","22656","598187750","574488048200","22053284"
"000215","DL우","34700","0","0.00","34000","35450","34000","2606","90366100","58508190500","1686115"
"375500","DL이앤씨","112000","-1500","-1.32","114000","115000","112000","128150","14479066000","2168178656000","19358738"
"37550K","DL이앤씨우","62800","0","0.00","62800","63500","62500","4182","263077900","132751978000","2113885"
"004840","DRB동일","4890","5","0.10","4745","4890","4745","7725","37509420","97457700000","19930000"
"155660","DSR","5150","0","0.00","5130","5280","5020","69716","359408570","82400000000","16000000"
"069730","DSR제강","4360","100","2.35","4200","4435","4200","75342","324950580","62784000000","14400000"
"017940","E1","45500","950","2.13","44300","45500","44300","3839","173073700","312130000000","6860000"
"365550","ESR켄달스퀘어리츠","5940","-60","-1.00","6050","6050","5940","284360","1699020560","1265748660000","213089000"
"383220","F&F","822000","-2000","-0.24","828000","833000","790000","40805","33126157000","6297683130000","7661415"
"007700","F&F홀딩스","27300","750","2.82","26500","28100","26450","66141","1808469250","1067822219100","39114367"
"114090","GKL","13050","400","3.16","12600","13200","12600","332496","4265175800","807216493500","61855670"
"078930","GS","38150","250","0.66","38450","38750","38100","150002","5741488450","3544721670700","92915378"
"006360","GS건설","38650","-400","-1.02","39200","39850","38650","329775","12915540950","3307724588500","85581490"
"001250","GS글로벌","2145","35","1.66","2090","2180","2075","410002","875013255","177034923780","82533764"
"007070","GS리테일","27050","-50","-0.18","27100","27450","27050","142067","3863910700","2832619790100","104717922"
"078935","GS우","33100","150","0.46","32950","33650","32950","1300","43110200","59077740600","1784826"
"012630","HDC","7250","100","1.40","7110","7330","7100","494089","3563999440","433127477250","59741721"
"039570","HDC랩스","9530","210","2.25","9140","9710","9140","114092","1087478090","247375937530","25957601"
"089470","HDC현대EP","4675","45","0.97","4610","4710","4610","94077","437235895","149132500000","31900000"
"294870","HDC현대산업개발","14400","-350","-2.37","14800","14900","13900","2520052","36106806000","949065552000","65907330"
"097230","HJ중공업","7170","-30","-0.42","7160","7300","7020","23400","167866570","597076594770","83274281"
"011200","HMM","22750","600","2.71","22000","23350","21900","3436960","78127269050","11125648534000","489039496"
"082740","HSD엔진","8520","30","0.35","8580","8630","8330","234998","2003638920","398065015920","46721246"
"003560","IHQ","1140","30","2.70","1095","1150","1095","800614","902596640","166708752720","146235748"
"175330","JB금융지주","8120","20","0.25","8100","8210","8070","272649","2211544640","1599501099280","196982894"
"234080","JW생명과학","12900","50","0.39","12550","13150","12550","27223","349379450","204265746600","15834554"
"001060","JW중외제약","19250","350","1.85","18500","20700","18200","336114","6607497300","426928059250","22178081"
"001067","JW중외제약2우B","59400","0","0.00","56400","59400","56400","296","17285100","6113863800","102927"
"001065","JW중외제약우","32600","600","1.88","32000","32650","31200","349","11144500","5957161000","182735"
"096760","JW홀딩스","3295","20","0.61","3210","3310","3200","56422","184255335","232115306270","70444706"
"105560","KB금융","59100","2000","3.50","58400","59200","57800","1418196","83373276000","24574248072000","415807920"
"002380","KCC","355500","11500","3.34","350000","374000","350000","127683","46245170000","3159140440500","8886471"
"344820","KCC글라스","57800","0","0.00","57400","59000","57400","43137","2503778500","923095593600","15970512"
"009070","KCTC","5130","-20","-0.39","5060","5270","5050","112619","582250680","153900000000","30000000"
"009440","KC그린홀딩스","4025","-25","-0.62","4015","4090","3990","36157","145840100","90300794500","22434980"
"119650","KC코트렐","5430","60","1.12","5330","5510","5330","50275","274037690","95568000000","17600000"
"092220","KEC","3110","0","0.00","3120","3195","3080","4078884","12789877990","450166718510","144748141"
"016380","KG동부제철","9800","-50","-0.51","9790","10050","9780","164665","1627702340","980087190600","100008897"
"016385","KG동부제철우","107000","-500","-0.47","104000","107000","101500","173","18042000","5712195000","53385"
"001390","KG케미칼","26650","-50","-0.19","26600","27200","26500","40334","1082574300","369531458400","13866096"
"033180","KH 필룩스","2060","15","0.73","2010","2075","1990","831208","1699613505","281664343840","136730264"
"001940","KISCO홀딩스","14550","150","1.04","14450","14650","14400","14443","209696850","268831329000","18476380"
"025000","KPX케미칼","50600","0","0.00","50500","51200","50500","3306","167708400","244904000000","4840000"
"092230","KPX홀딩스","61400","700","1.15","60800","61800","60100","4996","303745900","259393264400","4224646"
"000040","KR모터스","763","13","1.73","749","779","739","299168","227592611","73352811784","96137368"
"044450","KSS해운","11250","250","2.27","11050","11250","11000","40519","452788750","260841150000","23185880"
